kind,source,expected_write,detected_write,pass
positive,model.is_active = False,True,True,True
positive,"setattr(model, 'is_active', False)",True,True,True
positive,update(Model).values(is_active=False),True,True,True
positive,model.counter += 1,True,True,True
positive,db.delete(model),True,True,True
negative,Model.is_active == True,False,False,True
negative,Model.is_active != False,False,False,True
negative,query.where(Model.is_active == True),False,False,True
negative,result = model.is_active,False,False,True
negative,serialized['is_active'] = model.is_active,False,False,True
negative,comparison inside conditional: a <= b,False,False,True
