method,path,endpoint_name,model_table,service_method,ownership_mechanism,state_validation,final_classification,verification_level
POST,/v1/staff/coaching-appointments/{appointment_id}/accept,staff_accept,CoachingAppointment/coaching_appointments,accept_appointment,tenant_id filter + _assert_staff_owns_appt (existing) + require_owner_or_office_staff_mutation (fixed),_set_status validates APPT_TRANSITIONS before mutating (existing),TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/reject,staff_reject,CoachingAppointment,reject_appointment,same,same + reason required,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/start,staff_start,CoachingAppointment,start_appointment,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/complete,staff_complete,CoachingAppointment,complete_appointment,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/no-show,staff_no_show,CoachingAppointment,mark_no_show,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/request-reschedule,staff_reschedule,CoachingAppointment,request_reschedule,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/staff/coaching-appointments/{appointment_id}/notes,staff_add_note,CoachingAppointmentNote/coaching_appointment_notes,add_note,tenant_id filter + _assert_staff_owns_appt (existing) + require_owner_or_office_staff_mutation (fixed),n/a (append-only),TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
POST,/v1/provider/coaching-appointments/{appointment_id}/cancel,provider_cancel,CoachingAppointment,cancel_appointment,tenant_id filter ONLY -- no per-appointment assignment check (confirmed absent by source read; documented as intentional business-wide cancellation, not a defect) + require_owner_or_office_staff_mutation (fixed),same + reason required,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,SLICE_2F12_VERIFIED
GET,/v1/staff/coaching-appointments/{appointment_id}/timeline,staff_timeline,CoachingAppointmentExecutionEvent,get_timeline,tenant_id filter (existing) + require_owner_or_office_staff_read (fixed),n/a (read),TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (read),SLICE_2F12_VERIFIED
GET,/v1/provider/coaching-appointments/{appointment_id}/timeline,provider_timeline,CoachingAppointmentExecutionEvent,get_timeline,tenant_id filter (existing) + require_owner_or_office_staff_read (fixed),n/a (read),TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (read),SLICE_2F12_VERIFIED
GET,/v1/customer/coaching-appointments/{appointment_id}/tracking,customer_tracking,CoachingAppointment + CoachingAppointmentNote,inline query + get_notes(customer_only=True),customer_id == principal (existing inline query) + require_customer (fixed),n/a (read),CUSTOMER_ENQUIRY_MUTATION (read-only self-service),SLICE_2F12_VERIFIED
GET,/v1/admin/coaching-appointments/{appointment_id}/execution-timeline,admin_timeline,CoachingAppointmentExecutionEvent,get_timeline,require_super_admin (pre-existing, unmodified),n/a (read),PLATFORM_COACHING_ADMIN_ONLY,unmodified -- re-confirmed
