module,guard_used,admitted_roles_unchanged,tenant_authority_source,object_ownership_check
enterprise_grid_saved_views,require_mutation_access_scope,YES (was get_current_user; no role narrowed),owner_user_id (server-derived from u.user_id) on all 4 routes,"get_view/_check_access (visibility-aware); set_default hardened with explicit owner_user_id re-check"
enterprise_grid_preferences_exports,require_mutation_access_scope,YES,u.user_id / u.tenant_id server-derived,N/A (self-service create-only; export scope-type check pre-existing)
admin_catalog_provider_setup,require_staff_or_above_mutation,YES (identical role set to require_technician: super_admin/tenant_owner/staff/technician),u.tenant_id via BrandService/ServiceOptionService constructor,pre-existing service-layer tenant scoping (not re-audited beyond guard swap, per frozen contract note)
profile_technician_self_service,require_staff_or_above_mutation,YES,u (actor) passed to ProfileService,self-service by construction (actor updates own profile only)
profile_universal_self_service,require_mutation_access_scope,YES (no role restriction preserved),u (actor) passed to ProfileService,self-service by construction
marketing_automation_provider,require_mutation_access_scope,YES,_tid(u) server-derived tenant_id in every WHERE clause,tenant_id predicate on every UPDATE (non-oracular no-op on foreign id)
analytics_provider_reports,require_mutation_access_scope,YES,_tid(u) server-derived tenant_id,N/A (report run is tenant-scoped by construction)
chat,require_mutation_access_scope,YES,ChatService._require_trusted_tenant (new); customer exempted, participant-checked instead,_require_participant (new) for customer principals
inventory,require_tenant_mutation_permission(TENANT_UPDATE),YES,InventoryService._require_trusted_tenant (new),StockReservation.tenant_id predicate added to confirm/release lookups
bookings,require_tenant_mutation_permission(BOOKING_CREATE) [pre-existing],YES,server-derived customer_id + explicit client tenant_id rejection [pre-existing],N/A (create-only)
appointments,require_mutation_access_scope / require_tenant_mutation_permission(TENANT_UPDATE),YES,AppointmentService._require_trusted_tenant (new) for tenant-scoped routes,_assert_appt_access (new) for appointment-object routes; tenant check added to unblock_calendar
catalog,require_tenant_mutation_permission(TENANT_UPDATE),YES,ServiceCatalogService._require_trusted_tenant (new),tenant ownership check added to update_item
dispatch,require_tenant_mutation_permission(TENANT_UPDATE),YES,DispatchService._require_trusted_tenant (new),job.tenant_id cross-check on dispatch_job; DispatchRecord tenant ownership check on reassign_job
ds,require_tenant_mutation_permission(TENANT_UPDATE) / require_mutation_access_scope,YES,DSService._require_trusted_tenant (new),N/A (tenant-scoped rows only)
settings,require_tenant_mutation_permission(TENANT_UPDATE),YES,SettingsService._require_trusted_tenant (new),N/A (tenant-scoped rows only)
notifications,require_tenant_mutation_permission(TENANT_UPDATE),YES,NotificationService._require_trusted_tenant (new),N/A (tenant-scoped rows only)
serviceability,require_permission(SERVICEABILITY_CHECK) [unchanged],YES,N/A (read-only, no tenant write),N/A
