category,finding
shadowed,NONE
unreachable,R201 (^/v1/tenant/service-areas(/|$) -> geography_serviceability) matched no known path
unreachable,R202 (^/v1/me/profile-photo(/|$) -> media) matched no known path
unreachable,R203 (^/v1/me/notifications(/|$) -> notification) matched no known path
unreachable,R204 (^/v1/tenant/checklist-templates(/|$) -> job_execution) matched no known path
unreachable,R304 (^/v1/commerce/.*/wallet(/|$) -> package_commerce) matched no known path
unreachable,R307 (^/v1/provider/notifications(/|$) -> notification) matched no known path
unreachable,R403 (^/v1/staff(/|$) -> staff_management) matched no known path
unreachable,R404 (^/v1/customers?(/|$) -> customer_account) matched no known path
unreachable,R409 (^/v1/(packages?|commerce)(/|$) -> package_commerce) matched no known path
unreachable,R410 (^/v1/(payments?|invoices?|billing)(/|$) -> billing) matched no known path
unreachable,R411 (^/v1/(reviews?|reputation)(/|$) -> review_reputation) matched no known path
unreachable,R414 (^/v1/(security|audit)(/|$) -> security_audit) matched no known path
unreachable,R416 (^/v1/marketing(/|$) -> marketing) matched no known path
unreachable,R417 (^/v1/(webhooks?|integrations?)(/|$) -> integration_webhook) matched no known path
unreachable,R420 (^/v1/provider(/|$) -> tenant_governance) matched no known path
conflicts,NONE
fallback_captured,NONE
