module,route_service,dimension,severity,evidence,mitigation,certification_impact,future_work,owner,status
N01 media,app/engines/media/*,domain_integrity,high,n01-final-limitation-status.md,authorization/privacy closed,blocks domain-integrity claim only,orphaned storage cleanup + upload-session confirmation,unassigned,SECURITY_CLOSED_DOMAIN_INTEGRITY_BLOCKED
Payments,app/engines/payment/*,financial_integrity,high,payments-financial-limitation-status.md,mutation authorization closed,blocks financial-integrity claim only,build authoritative ledger + amount verification,unassigned,PAYMENT_MUTATION_AUTHORIZATION_CLOSED_FINANCIAL_INTEGRITY_UNPROVEN
Pricing,GET zone/rule-ID reads,read_path_privacy,medium,read-path-privacy-limitations.md,none,blocks read-path privacy claim only,tenant-scope the read endpoints,unassigned,OPEN
Item/location,ownership reads,read_path_privacy,medium,read-path-privacy-limitations.md,none,blocks read-path privacy claim only,add ownership check,unassigned,OPEN
Demo accounts,manager@/readonly@demo-ac-services.local,role_data_integrity,high,manual-role-confirmation-request.md,none (zero effective permissions today),blocks migration + role-data readiness,human decision required,unassigned,MANUAL_ROLE_CONFIRMATION_REQUIRED
Migration 144,alembic/versions/144_*,migration_runtime_safety,high,postgres-environment-evidence.md,static audit passed,blocks migration readiness,execute in real PostgreSQL environment,unassigned,POSTGRESQL_MIGRATION_ENVIRONMENT_UNAVAILABLE
Mounted route census,2320 routes total,route_classification_completeness,high,mutation-disposition-census.md,313 canonical fully certified,blocks application-wide certification,classify remaining ~1873 mutation routes into the 9 required categories,unassigned,261 UNVERIFIED + 89 spot-checked-only
Seed script role guard,scripts/canonical_seed_final_l5_01.py::get_or_create_user,role_data_integrity,high,full-backend-regression-report.md (test_phase2d_tenant_access_model.py 6 parametrized failures),none -- zero role validation exists in this function,blocks unqualified role-data-integrity claim,add canonical-role validation before the INSERT (out of this slice's allow-list; requires future-slice authorization),unassigned,OPEN_UNGUARDED
Historical test-history gap,tests/test_phase2d_tenant_access_model.py,test_history_discipline,medium,full-backend-regression-report.md (2 failures: canonical-roles-count + require_tenant_mutation_permission-caller-count),none -- test was never updated across 2F-35/36/37/37R/38,does not block mutation-authorization claim; is a program process gap,apply a PROTECTED_BY_LATER_SLICE update in a future slice,unassigned,OPEN
Booking Exception Resolution,booking pipeline,product_policy,medium,inherited from 2F-29/37,none,blocks product-policy completeness only,implement exception-resolution flow,unassigned,BLOCKED (unchanged)
Customer cancellation/rescheduling,ServiceBooking/ServiceJob,product_policy,medium,inherited from 2F-29/37,none,blocks product-policy completeness only,implement,unassigned,UNRESOLVED (unchanged)
