principal,provider_submit_reply,provider_flag_review,customer_flag_review,basis
tenant_owner,PERMIT,PERMIT,DENY,owns the business voice and moderation posture
super_admin,PERMIT (explicit),PERMIT (explicit),DENY,shared dependency; admin has its own moderation surface
staff,DENY,DENY,DENY,PRODUCT DECISION -- no existing review/reputation permission distinguishes a staff member authorised to speak for the business; started narrow
technician,DENY,DENY,DENY,field-execution persona; performing the Job does not confer brand voice
customer,DENY,DENY,PERMIT (own review only),a customer must never post as the provider
guest / unauthenticated,DENY,DENY,DENY,no authentication
read-only tenant_owner (access_scope),DENY,DENY,n/a,mutation-capable scope required
read-only staff,DENY,DENY,n/a,denied by role and by scope
cross-tenant owner,DENY,DENY,n/a,scoped lookup returns NOT_FOUND
cross-tenant staff,DENY,DENY,n/a,denied by role and by scope
admin_operations / admin_finance / admin_security / admin_readonly,DENY,DENY,DENY,platform admins act through admin_router
"prohibited alias (tenant_manager, provider_manager, supervisor...)",DENY,DENY,DENY,unknown role fails closed
unknown role,DENY,DENY,DENY,fails closed
unknown access scope,DENY,DENY,DENY,fails closed
