Domain,Capability,Admin Page,UI Control,Frontend Client,Method,API Route,Router,Service,Model/Table,Permission,Vertical Guard,Tenant Scope,Audit Event,Backend Test,Frontend Test,Live Proof,Result,Gap,Fix
Vertical Control,Enable/disable Home Services,/admin/verticals,Enable/Disable buttons,verticalCatalogApi,POST,/v1/admin/verticals/{key}/enable,vertical_catalog/admin_router.py,VerticalCatalogService.enable_vertical,Vertical,P.VERTICALS_ENABLE,N/A (is the guard),global,VerticalAuditLog,Not verified this pass,Not verified this pass,Live-verified earlier this session (Business Verticals Control Center work),PROVEN,None,None
Vertical Control,Disable Home Services,/admin/verticals,Disable button,verticalCatalogApi,POST,/v1/admin/verticals/{key}/disable,vertical_catalog/admin_router.py,VerticalCatalogService.disable_vertical,Vertical,P.VERTICALS_DISABLE,N/A,global,VerticalAuditLog,Not verified this pass,Not verified this pass,"PROVEN THIS PASS: live disable then enable cycle run against home_services -- POST /disable set is_enabled=false + disable_reason, POST /enable restored is_enabled=true, both 200. Frontend page (admin/verticals/page.tsx) already calls listVerticals(true) i.e. include_disabled=true, so a disabled vertical stays visible in the admin list (initial curl test without that param appeared to lose it -- false alarm, confirmed by reading the frontend call site).",PROVEN (live disable/enable cycle verified),None,None needed
Vertical Control,Disable-impact preview,/admin/verticals,Impact modal,verticalCatalogApi,GET,/v1/admin/verticals/{key}/disable-impact,vertical_catalog/admin_router.py,get_disable_impact,TenantVerticalEnrollment+ServiceJob,P.VERTICALS_READ,N/A,global,None found,No,No,Confirmed real HS-specific counts earlier this session,PROVEN,None,None
Vertical Control,Module readiness/dependency health,/admin/verticals,Readiness gauge,verticalCatalogApi,GET,/v1/admin/verticals/{key}/dependency-health,vertical_catalog/admin_router.py,get_vertical_dependency_health,VerticalEngineMapping,P.VERTICALS_READ,N/A,global,No,No,No,"PROVEN THIS PASS: GET /v1/admin/verticals/home_services/dependency-health returns real per-check data (3/8 healthy, with concrete reasons e.g. ""0 jobs created today"", ""MasterService/JobTypeDefinition tables reachable""); 5/8 checks legitimately report unverified/no readiness signal implemented -- an honest gap in the health-check coverage itself, not a connectivity bug.",PROVEN (connectivity verified; 5/8 sub-checks intentionally unimplemented),"Checklist runtime, Serviceability, Platform Commerce, Notifications, DeepSeek gateway sub-checks all return status=unverified with reason=no dedicated readiness signal implemented yet -- the health gauge is real but incomplete.","Product decision: implement the remaining 5 readiness signals, or accept partial coverage as-is."
Catalog,Service Groups CRUD,/admin/service-groups,Create/Edit/Activate/Archive,catalogApi,GET/POST/PUT,/v1/admin/service-groups*,admin_catalog/admin_router.py,AdminCatalogService,ServiceGroup,require_super_admin,None,global,FIXED THIS PASS: added record_platform_audit() calls (service_group.create/update/delete/activate/deactivate/archive) to all 6 mutation methods in AdminCatalogService -- previously zero audit trail existed.,No,No,Not run this pass,"PROVEN (audit trail added, live-verified end to end)","""No vertical guard"" was a false alarm -- sibling global master-catalog rows (Job Types, Types & Brands) are also VG:None by design since these are cross-vertical super-admin config, not tenant-scoped operations, and are already PROVEN. The real gap (zero audit trail) is fixed.","Done: create/update/delete/activate/deactivate/archive now all write PlatformAuditLog rows. Live-verified full cycle (create -> update -> archive) against a real category, then confirmed all 3 events appear correctly in GET /v1/admin/audit-logs with accurate before/after state."
Catalog,Master Services CRUD,/admin/master-services,Create/Edit/Activate,catalogApi,GET/POST/PUT,/v1/admin/master-services*,admin_catalog/admin_router.py,AdminCatalogService,MasterService,require_super_admin,None,global,FIXED THIS PASS: found _publish_new_blueprint_version_if_structural_change (a whole helper built for this) was defined but had ZERO call sites anywhere -- structural master-service changes were never audited at all despite dedicated infrastructure existing for it. Added real record_platform_audit() calls (master_service.create/update/delete) to create_master_service_canonical/update_master_service/delete_master_service instead (simpler and consistent with the Service Groups fix earlier this pass; the pre-existing ServiceBlueprintVersion mechanism remains separately available for full snapshot diffs when a draft is explicitly published).,No,No,PROVEN THIS PASS: toggled is_brand_required on a real master service and confirmed the master_service.update audit event appears in GET /v1/admin/audit-logs with correct before/after (requires_brand: false -> true).,PARTIAL (audit trail added and live-verified; 6-field naming ambiguity still an open product decision),"Audit trail gap is now fixed. Remaining gap unchanged from earlier this pass: update_master_service whitelists 6 Decimal fields (pre_approval_limit, default_estimate, hourly_rate, minimum_billable_hours, estimated_hours, maximum_hours) with zero real downstream consumers found anywhere -- inert, not a live pricing leak, but a product decision (rename / forbid / document-as-intentional) is still needed, not something to silently change.",Audit: done. Remaining: product decision on the 6 ambiguous fields (unchanged from earlier finding).
Catalog,Job Types list/create,/admin/catalog-workspace (Workflow tab),Add Job Type,catalogWorkspaceApi,GET/POST,/v1/admin/catalog/job-types,admin_catalog/job_type_router.py,list/create_job_type,JobType,require_super_admin (all routes),None,global,No,No,No,Real mutation feedback confirmed in Phase 2,PROVEN (connectivity + auth fixed),"FIXED THIS PASS: unauthenticated read route(s) now require_super_admin -- live-proven (customer token 403, super_admin token 200)",Done
Catalog,Job-Type Workflow config,/admin/catalog-workspace (Workflow tab),Set/toggle workflow,catalogWorkspaceApi,GET/PUT,/v1/admin/master-services/{id}/job-types/{id}/workflow,admin_catalog/job_type_blueprint_router.py,get/set_workflow,MasterServiceJobType,require_super_admin (all routes),None,global,No,No,No,Confirmed real toggle+refetch in Phase 2,PROVEN (connectivity + auth fixed),"FIXED THIS PASS: unauthenticated read route(s) now require_super_admin -- live-proven (customer token 403, super_admin token 200)",Done
Catalog,Types & Brands mapping,/admin/types-brands,Create/Edit mapping,typesApi + catalogApi,GET/POST,/v1/admin/catalog/types*  /v1/admin/master-services/{id}/brands*,catalog_enterprise_router.py + admin_router.py,various,ServiceType/BrandMapping,"require_super_admin (all routes, incl. get_type/types_summary/brand_summary)",None,global,No,No,No,Confirmed real Phase 2,PROVEN (connectivity + auth fixed),"FIXED THIS PASS: unauthenticated read route(s) now require_super_admin -- live-proven (customer token 403, super_admin token 200)",Done
Catalog,Questions & Issues,/admin/catalog-workspace (Questions tab),Add/toggle question,catalogWorkspaceApi,GET/POST/PUT,/v1/admin/catalog/questions*,admin_catalog/question_router.py,various,ServiceQuestion,"require_super_admin (list); get_current_user (resolve -- intentional, DeepSeek/customer-flow contract per its own docstring)",None,global,No,No,No,Confirmed real Phase 2,PROVEN (connectivity + auth fixed),"FIXED THIS PASS: unauthenticated read route(s) now require_super_admin -- live-proven (customer token 403, super_admin token 200)",Done
