endpoint_name,final_classification,evidence
staff_accept,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,require_owner_or_office_staff_mutation (fixed) + _assert_staff_owns_appt (existing)
staff_reject,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
staff_start,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
staff_complete,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
staff_no_show,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
staff_reschedule,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
staff_add_note,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION,same
provider_cancel,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (not assignment-limited -- documented, existing behavior),require_owner_or_office_staff_mutation (fixed); cancel_appointment has no assignment check
staff_timeline,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (read variant),require_owner_or_office_staff_read (fixed) + tenant_id filter (existing)
provider_timeline,TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (read),require_owner_or_office_staff_read (fixed) + tenant_id filter (existing)
customer_tracking,CUSTOMER_COACHING_ENQUIRY (read-only self-service),require_customer (fixed) + inline customer_id filter (existing)
admin_timeline,PLATFORM_COACHING_ADMIN_ONLY,require_super_admin (pre-existing, unmodified)
