endpoint,initiator,approver,executor,final_authority,required_role,required_permission,reversible,moves_real_money,changes_internal_credit,changes_security_deposit,creates_accounting_record,requires_confirmation,product_policy_unresolved
approve_deposit,admin_finance or super_admin,n/a (single-step),FinanceHubService,admin_finance (per interim policy),admin_finance|super_admin,FINANCE_DEPOSITS_APPROVE,NO (now blocked from re-approving a refunded deposit; approving again while still 'paid' is a safe no-op-ish re-approve),NO,NO,YES,YES,no (frontend not redesigned this slice),NO
reject_deposit,admin_finance or super_admin,n/a,FinanceHubService,admin_finance,admin_finance|super_admin,FINANCE_DEPOSITS_APPROVE,YES (metadata only, no status change),NO,NO,NO,YES,no,NO
record_offline_deposit,admin_finance or super_admin,n/a,FinanceHubService,admin_finance,admin_finance|super_admin,FINANCE_DEPOSITS_UPDATE,NO (money already received offline),YES (represents real money received outside the platform),NO,YES,YES,no,NO
refund_deposit,admin_finance or super_admin,n/a,FinanceHubService,admin_finance,admin_finance|super_admin,FINANCE_DEPOSITS_REFUND,NO (money returned to tenant),YES,NO,YES,YES,no,NO
adjust_deposit,admin_finance or super_admin,n/a,FinanceHubService -> package_commerce,admin_finance,admin_finance|super_admin,FINANCE_DEPOSITS_UPDATE,not traced this slice,possibly (forfeiture is real-money-adjacent),NO,YES,YES,no,YES (internal mechanism not traced this slice)
retry_credit,admin_finance or super_admin,n/a,FinanceHubService -> UsageCreditService,admin_finance,admin_finance|super_admin,FINANCE_TOPUPS_UPDATE,NO (idempotent grant),NO,YES,NO,YES,no,NO
refund_topup,admin_finance or super_admin,n/a,FinanceHubService,admin_finance,admin_finance|super_admin,FINANCE_TOPUPS_REFUND,NO,depends (top-up itself may represent real money paid),YES (reverses platform credit),NO,YES,no,NO
approve_payout,super_admin only (per interim policy),n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_PAYOUTS_APPROVE (granted to no role),partially (approval itself reversible via reject; downstream completion is not),YES (real money to a provider),NO,NO,YES,YES (high-impact per interim policy),YES -- should admin_finance be granted this?
reject_payout,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_PAYOUTS_REJECT (granted to no role),YES,NO (prevents money movement),NO,NO,YES,no,YES -- same question
mark_processing,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_PAYOUTS_PROCESS (granted to no role),NO,NO (status only),NO,NO,YES,no,YES -- same question
mark_completed,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_PAYOUTS_COMPLETE (granted to no role),NO (money has left the platform),YES (confirms real money movement completed),NO,NO,YES,YES (irreversible per interim policy),YES -- same question
mark_failed,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_PAYOUTS_PROCESS (granted to no role),YES (can be retried presumably outside this router),NO,NO,NO,YES,no,YES -- same question
assign_reviewer,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_CLAIMS_ASSIGN (granted to no role),YES,NO,NO,NO,YES,no,YES -- should admin_finance be granted this?
request_documents,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_CLAIMS_ASSIGN (granted to no role),YES,NO,NO,NO,YES,no,YES -- same question
approve_claim,super_admin only,n/a,FinanceHubService -> package_commerce,super_admin,super_admin (P.ALL only),FINANCE_CLAIMS_APPROVE (granted to no role),partially,possibly (approved_amount may become a real payment via settlement),NO,NO,YES,YES,YES -- same question
reject_claim,super_admin only,n/a,FinanceHubService -> package_commerce,super_admin,super_admin (P.ALL only),FINANCE_CLAIMS_REJECT (granted to no role),YES,NO,NO,NO,YES,no,YES -- same question
settle_claim,super_admin only,n/a,FinanceHubService,super_admin,super_admin (P.ALL only),FINANCE_CLAIMS_SETTLE (granted to no role),NO (irreversible per interim policy),YES (settlement represents real payment/credit),possibly,NO,YES,YES (irreversible),YES -- highest-priority open question
