endpoint,tenant_owner,canonical_staff,technician,super_admin_override,required_permission,required_access_scope,object_ownership,approval_requirement,business_wide_impact,delegation_intentional
enable_service,Allowed,Denied (no TENANT_UPDATE grant),Denied (no TENANT_UPDATE grant),Allowed (via P.ALL),TENANT_UPDATE,mutation-capable,tenant_id must match principal (FIXED THIS SLICE -- was overridable via query param),none beyond entitlement check,YES (adds a bookable/configurable service),NO -- TENANT_UPDATE granted only to tenant_owner, staff/technician have no path today
update_enabled_service,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,tenant_service_id must belong to principal tenant (_assert_tenant_owns_ts),none,YES (display/override changes),NO
disable_service,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,tenant_id must match principal (FIXED THIS SLICE),none,YES (removes a bookable service),NO
set_tenant_service_types,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced via _assert_tenant_owns_ts,none,YES,NO
set_tenant_service_brands,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced,none,YES,NO
set_tenant_type_pricing,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced,none,YES (pricing change),NO
set_tenant_brand_pricing,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced,none,YES,NO
publish_tenant_service,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced,implicit (completeness validation acts as the approval gate),YES (makes service bookable),NO
save_tenant_service_draft,Allowed,Denied,Denied,Allowed,TENANT_UPDATE,mutation-capable,enforced,none,LOW (draft only, not yet live),NO
preview_tenant_price_options,Allowed (and any other role -- no record touched),Allowed,Allowed,Allowed,none (FALSE_POSITIVE, no record touched),n/a,n/a,n/a,NO,n/a (not a mutation, delegation question does not apply)
