method,path,endpoint_name,request_schema,service_method,ownership_mechanism,state_validation,final_classification,verification_level
GET,/v1/customer/complaints/check-eligible,check_eligible,query params,ComplaintEligibilityService.check_eligible,_customer_owns_record (existing),record status + window + duplicate,CUSTOMER_COMPLAINT_CREATE (advisory),SLICE_2F10_VERIFIED
POST,/v1/customer/complaints,create_complaint,CreateComplaintIn,ComplaintService.create_complaint,record ownership (fixed this slice),none (creation),CUSTOMER_COMPLAINT_CREATE,SLICE_2F10_VERIFIED
GET,/v1/customer/complaints,list_complaints,query params,ComplaintService.list_customer_complaints,query filtered by customer_id,n/a (read),CUSTOMER_COMPLAINT_CREATE (read),SLICE_2F10_VERIFIED
GET,/v1/customer/complaints/{complaint_id},get_complaint,path param,ComplaintService.get_customer_complaint,customer_id == complaint.customer_id,n/a (read),CUSTOMER_COMPLAINT_MESSAGE (read),SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/messages,add_message,AddMessageIn,ComplaintService.add_customer_message,get_customer_complaint (existing),FINAL_STATUSES guard (existing),CUSTOMER_COMPLAINT_MESSAGE,SLICE_2F10_VERIFIED
GET,/v1/customer/complaints/{complaint_id}/messages,list_messages,path param,ComplaintService.list_messages,get_customer_complaint + is_visible_to filter,n/a (read),CUSTOMER_COMPLAINT_MESSAGE (read),SLICE_2F10_VERIFIED
GET,/v1/customer/complaints/{complaint_id}/resolutions,list_resolutions,path param,ComplaintService.list_resolutions,get_customer_complaint (existing),n/a (read),CUSTOMER_RESOLUTION_ACCEPT (read),SLICE_2F10_VERIFIED
GET,/v1/customer/complaints/{complaint_id}/ai-session,get_ai_session,path param,ComplaintService.get_ai_session,get_customer_complaint (existing),n/a (read),CUSTOMER_COMPLAINT_MESSAGE (read),SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/ai-session/answers,submit_ai_answers,AIAnswersIn,AISettlementService.submit_answers,get_customer_complaint (existing),AI session status (service-internal),CUSTOMER_COMPLAINT_MESSAGE,SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/cancel,cancel_complaint,CancelComplaintIn,ComplaintService.cancel_customer_complaint,get_customer_complaint (existing),_transition to STATUS_CANCELLED (existing),CUSTOMER_COMPLAINT_WITHDRAW,SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/resolutions/{resolution_id}/accept,accept_resolution,none,ComplaintService.customer_accept_resolution,get_customer_complaint + _get_resolution complaint_id cross-check (fixed this slice),pre-validated via ALLOWED_TRANSITIONS_EXT before mutation (fixed this slice),CUSTOMER_RESOLUTION_ACCEPT,SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/resolutions/{resolution_id}/reject,reject_resolution,ResolutionActionIn,ComplaintService.customer_reject_resolution,get_customer_complaint + _get_resolution complaint_id cross-check (fixed this slice),pre-validated via ALLOWED_TRANSITIONS_EXT before mutation (fixed this slice),CUSTOMER_RESOLUTION_REJECT,SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/refund,request_refund,CreateRefundIn,RefundRequestService.create_refund_request_from_complaint,get_customer_complaint (fixed this slice -- was a bare fetch),ALLOWED_TRANSITIONS soft-check (existing; silent no-op on illegal state),CUSTOMER_ESCALATION_REQUEST,SLICE_2F10_VERIFIED
GET,/v1/customer/complaints/{complaint_id}/settlement-proposals,list_settlement_proposals,path param,ComplaintService.list_settlement_proposals,get_customer_complaint (existing),n/a (read),CUSTOMER_SETTLEMENT_ACCEPT (read),SLICE_2F10_VERIFIED
POST,/v1/customer/complaints/{complaint_id}/settlement-proposals/{proposal_id}/respond,respond_to_settlement,SettlementRespondIn,ComplaintService.customer_respond_to_settlement,get_customer_complaint + _get_settlement_proposal complaint_id cross-check (already fixed Slice 2F-9 -- shared method),_check_dual_acceptance (existing),CUSTOMER_SETTLEMENT_ACCEPT,SLICE_2F10_VERIFIED
