method,path,route_name,module,capability,current_dependency,runtime_guard_status,intended_persona,tenant_access_scope,assignment_behavior,job_ownership,lifecycle_effect,checklist_gate_effect,financial_effect,final_classification,verification_status
POST,/v1/staff/me/jobs/{job_id}/accept,accept,app.engines.field_ops.staff_router,accept assigned job,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a (self-service),assigned_staff_id==actor_id,_get_job_for_staff_action,ASSIGNED->ACCEPTED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/staff/me/jobs/{job_id}/reject-assignment,reject,app.engines.field_ops.staff_router,reject assigned job,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ASSIGNED->REJECTED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
PUT,/v1/staff/me/jobs/{job_id}/status,update_status,app.engines.field_ops.staff_router,status transition,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_assert_can_access_job,lifecycle guard chain,CHECKLIST_COMPLETE required for WORK_COMPLETE when checklist_required,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/staff/me/jobs/{job_id}/checklist/start,my_job_checklist_start,app.engines.field_ops.staff_router,start checklist,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ARRIVED->CHECKLIST_STARTED,provisions JobChecklistItem (idempotent),none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
PUT,/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},my_job_checklist_item,app.engines.field_ops.staff_router,mutate checklist item,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action + item.job_id==job.id,none,requires CHECKLIST_STARTED (fixed 2F-14),none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/staff/me/jobs/{job_id}/checklist/complete,my_job_checklist_complete,app.engines.field_ops.staff_router,finalize checklist,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,CHECKLIST_STARTED->CHECKLIST_COMPLETE,requires all required items complete,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs,create_job,app.engines.field_ops.router,create job,require_permission(TENANT_UPDATE),PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant_owner,not scope-aware (open),n/a (creation),n/a (creation),creates Job,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/quotes/{quote_id}/respond,respond_to_quote,app.engines.field_ops.router,customer quote response,get_current_user,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,customer,none at route; quote.customer_id check in service,n/a,quote.customer_id==customer_id (customer_id from body if non-customer caller),QUOTE_APPROVED / spawns repair,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/accept,accept_job,app.engines.field_ops.router,accept assigned job,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ASSIGNED->ACCEPTED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/assessment/complete,complete_assessment,app.engines.field_ops.router,complete assessment,require_staff_or_technician_only (fixed 2F-14A),STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ASSESSMENT_STARTED->ASSESSMENT_COMPLETE,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14A_VERIFIED
