screen,classification,notes
Login,NEW_DESIGN_VERIFIED,"Custom brand hero + sheet form; real /v1/auth/login"
Customer Home,NEW_DESIGN_VERIFIED,"Real greeting/category grid; verified Round 3/4"
Bookings list,REDESIGNED_THIS_ROUND,"BookingsListScreen/BookingCard fixed to real Booking fields this round"
Booking Detail,REDESIGNED_THIS_ROUND,"Rewritten this round -- removed fabricated payment card + dead cancel control (Workstream 9)"
Service Detail (standalone),REDESIGNED_THIS_ROUND,"Did not exist before this round -- built new (Workstream 7)"
Chat entry / conversation,NEW_DESIGN_VERIFIED,"DeepSeekChatScreen, verified live Rounds 3-5"
Language selector,NEW_DESIGN_VERIFIED,"Searchable modal, chat-scoped, verified Round 3/4"
Category/offering pickers,NEW_DESIGN_VERIFIED,"Real backend data, verified live"
Address/issue collection,NEW_DESIGN_VERIFIED,"Real form, one-off entry (saved-address integration deferred)"
Serviceability result,NEW_DESIGN_VERIFIED,"Real positive result live since Round 4 seed"
Price presentation,NEW_DESIGN_VERIFIED,"Real backend value shown verbatim"
Bargain available/unavailable,REDESIGNED_THIS_ROUND,"New honest tier-selection / not-yet-bookable UI this round (Workstream 4)"
Booking Review,REDESIGNED_THIS_ROUND,"Extended this round with tier selection + on-site-payment note"
Booking Confirmation,BACKEND_BLOCKED,"Cannot render -- booking submission itself blocked by BargainRule gap (see canonical-booking-live-evidence.md); no fixture substitute was built"
Notifications,REDESIGNED_THIS_ROUND,"Fixed real field-shape bugs this round; already the new design since Round 4"
Profile,REDESIGNED_THIS_ROUND,"Removed an internal health-score/ranking exposure + fixed field names this round"
Settings,NEW_DESIGN_VERIFIED,"Honest 'coming soon' for unconfirmed backend areas (Round 2), app-wide language selector correctly absent"
Help & Support,NEW_DESIGN_VERIFIED,"Real contact card + honest 'coming soon' for FAQ/tickets (Round 2)"
Payment Methods,NEW_DESIGN_VERIFIED,"Honest unavailable state (Round 2) -- no real backend contract exists"
Address Book,NOT_VERIFIED_THIS_ROUND,"2 typecheck errors remain, not opened in browser this round"
Service History,NEW_DESIGN_VERIFIED,"Real fieldOpsJobsApi data (Round 2)"
Job Tracking,NEW_DESIGN_VERIFIED,"Real progress-steps timeline (Round 2)"
Invoice,OLD_SCAFFOLD_REMAINS,"16 typecheck errors -- reads Invoice type that was removed; screen was NOT rewired this round, real risk of a runtime crash analogous to the Round 3 navigator bugs -- not opened in browser"
Quote Approval,OLD_SCAFFOLD_REMAINS,"18 typecheck errors -- reads Quote fields (visit_fee/recommended_work/etc) never confirmed real; not rewired this round"
Book Service (legacy standalone),OLD_SCAFFOLD_REMAINS,"Calls bookingsApi.create which was never a real export -- fully superseded by DeepSeekChatScreen's real booking flow; should be deleted, not fixed, next round"
Chat (human messaging),OLD_SCAFFOLD_REMAINS,"8 typecheck errors -- reads ChatRoom/.rooms/.messages shapes that don't match the real ChatThread/{items} contract fixed in Round 1; not rewired this round"
AI Chat (legacy),OLD_SCAFFOLD_REMAINS,"Superseded by DeepSeekChatScreen -- no longer reachable via the AI Assistant tab (Round 3 fix) but still registered as a stack route; should be deleted next round, not left as dead code"
AI Assistant (legacy),OLD_SCAFFOLD_REMAINS,"Same as above -- superseded, still a reachable stack route via other screens' navigation calls"
SmartBot (legacy),OLD_SCAFFOLD_REMAINS,"Same as above"
Review,NOT_VERIFIED_THIS_ROUND,"1 typecheck error (reviewsApi.submit not real) -- not opened in browser"
