endpoint_name,final_classification,evidence
agent_accept,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,require_owner_or_office_staff_mutation (fixed) + _assert_agent_owns_lead (existing)
agent_reject,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_mark_contacted,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_follow_up,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_plan_site_visit,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_complete_site_visit,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_qualify,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_disqualify,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_convert,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_close_lost,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_add_note,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,same
agent_timeline,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (read variant -- broader role set incl. technician),require_staff_or_above (fixed) + tenant_id filter (existing)
provider_timeline,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (read),require_staff_or_above (fixed) + tenant_id filter (existing)
provider_notes,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (read),require_staff_or_above (fixed) + tenant_id filter (existing)
customer_tracking,CUSTOMER_INQUIRY_MUTATION (read-only self-service),require_customer (fixed) + inline customer_id filter (existing)
admin_timeline,PLATFORM_REAL_ESTATE_ADMIN_ONLY,require_super_admin (pre-existing, unmodified)
admin_notes,PLATFORM_REAL_ESTATE_ADMIN_ONLY,require_super_admin (pre-existing, unmodified)
