method,path,side_effect,capability_family,capability_action,persona,tenant_direction,in_denominator,protection,canonical_expectation,abstention_reason
DELETE,/v1/rag/documents/{doc_id},DATABASE_MUTATION,other,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/{appointment_id}/cancel,DATABASE_MUTATION,booking,cancel,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/{appointment_id}/no-show,DATABASE_MUTATION,booking,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/auth/mfa/backup-codes/regenerate,DATABASE_MUTATION,identity_access,rotate,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,
POST,/v1/catalog,DATABASE_MUTATION,catalog,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/chat/conversations/{conversation_id}/messages,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/compliance/portability-requests,DATABASE_MUTATION,compliance,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/dispatch/jobs/{job_id}/reject,DATABASE_MUTATION,job_execution,reject,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,DATABASE_MUTATION,other,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/media/upload/initiate,DATABASE_MUTATION,media,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/notifications/send,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/rag/documents/{doc_id}/reindex,DATABASE_MUTATION,other,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/rag/knowledge-bases,DATABASE_MUTATION,other,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/rag/knowledge-bases/{kb_id}/documents,DATABASE_MUTATION,other,import,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/security/api-keys/{key_id}/revoke,DATABASE_MUTATION,security_audit,revoke,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/security/api-keys/{key_id}/rotate,DATABASE_MUTATION,security_audit,rotate,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
POST,/v1/serviceability/check,DATABASE_MUTATION,geography_serviceability,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
PUT,/v1/appointments/staff/{staff_id}/working-hours,DATABASE_MUTATION,booking,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,
PUT,/v1/auth/staff/{user_id}/schedule,DATABASE_MUTATION,staff_management,update,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
PUT,/v1/catalog/{item_id},DATABASE_MUTATION,catalog,update,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
