method,path,function,capability_classification,admitted_roles,dependency,technician_policy,parent_pipeline,visibility_policy,attachment_behavior,delivery_side_effect,final_status
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,TECHNICIAN_RECIPIENT_OPERATION (n/a -- provider excludes technician),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED (route excludes technician entirely),n/a,n/a,none,none,VERIFIED
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,TECHNICIAN_RECIPIENT_OPERATION (n/a),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
PUT,/v1/provider/notifications/preferences,provider_update_pref,PERSONAL_PREFERENCE_OPERATION,super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
POST,/v1/provider/chat/threads,provider_create_thread,TENANT_WIDE_ANNOUNCEMENT (n/a -- not an announcement, ASSIGNED_JOB_CONVERSATION creation),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED (route excludes technician entirely),ServiceJob/ServiceBooking/CustomerComplaint (record-ownership enforced 2F-18),thread (default),ATTACHMENT_MODEL_SUPPORTED (validated 2F-18A for send, not create),writes InAppNotification rows on first send only,VERIFIED
POST,/v1/provider/chat/threads/{thread_id}/messages,provider_send_message,ASSIGNED_JOB_CONVERSATION,super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,ServiceJob/ServiceBooking (via thread),enum-validated + non-admin restricted to thread (2F-18),ATTACHMENT_MODEL_SUPPORTED (2F-18A),writes 1 InAppNotification row per other active participant,VERIFIED
POST,/v1/provider/chat/threads/{thread_id}/read,provider_mark_thread_read,STAFF_INTERNAL_CONVERSATION (recipient-owned read receipt),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,via thread,n/a,none,none,VERIFIED
GET,/v1/provider/notifications,provider_list_notifications,TENANT_NOTIFICATION_ADMIN (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
GET,/v1/provider/notifications/unread-count,provider_unread_count,TENANT_NOTIFICATION_ADMIN (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
GET,/v1/provider/notifications/preferences,provider_get_prefs,PERSONAL_PREFERENCE_OPERATION (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
GET,/v1/provider/chat/threads,provider_list_threads,STAFF_INTERNAL_CONVERSATION (read, tenant-wide by ratified office policy),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
