method,path,endpoint,module
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router
POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,app.engines.security.router
POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,app.engines.security.router
POST,/v1/security/sessions,create_session,app.engines.security.router
POST,/v1/chat/conversations/{conversation_id}/messages,send_message,app.engines.chat.router
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,receive_stock,app.engines.inventory.router
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,update_plan,app.engines.subscription.router
POST,/v1/documents/{document_id}/void,void_document,app.engines.document.router
POST,/v1/appointments/{appointment_id}/cancel,cancel_appointment,app.engines.appointment.router
POST,/v1/appointments/{appointment_id}/no-show,mark_no_show,app.engines.appointment.router
PUT,/v1/appointments/staff/{staff_id}/working-hours,set_working_hours,app.engines.appointment.router
POST,/v1/catalog,create_item,app.engines.service_catalog.router
PUT,/v1/catalog/{item_id},update_item,app.engines.service_catalog.router
POST,/v1/dispatch/jobs/{job_id}/reject,reject_job,app.engines.dispatch.router
POST,/v1/rag/knowledge-bases,create_kb,app.engines.rag.router
PUT,/v1/rag/knowledge-bases/{kb_id},update_kb,app.engines.rag.router
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,app.engines.rag.router
DELETE,/v1/rag/documents/{doc_id},delete_document,app.engines.rag.router
POST,/v1/rag/documents/{doc_id}/reindex,reindex_document,app.engines.rag.router
PUT,/v1/settings/tenants/{tenant_id}/{key},set_tenant,app.engines.settings_engine.router
POST,/v1/notifications/send,send_notification,app.engines.notification.router
POST,/v1/media/upload/initiate,initiate_upload,app.engines.media.router
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},update_zone,app.engines.pricing.router
