router_module,route_count,severity,identity_impact,cross_tenant_risk,financial_risk,external_side_effect,discovered_by,readiness
app.engines.auth.router,12,HIGH,"CRITICAL -- MFA, passwords, permissions, API keys, impersonation, sessions",possible via staff/user ids,no,email invites,2F-26 sweep,yes
app.engines.media.new_router,9,HIGH,profile/brand assets,asset ownership,no,"storage writes, public URLs",2F-26 sweep,yes
app.engines.enterprise_grid.router,6,HIGH,saved views / column prefs / exports,tenant-scoped views,no,export generation,2F-26 sweep,yes
app.engines.profile.router,4,HIGH,"tenant legal identity (GST, business name)",no,no,no,2F-26 sweep + prior queue,yes
app.engines.marketing_automation.provider_router,3,HIGH,no,tenant-scoped SQL,no,none (no dispatch exists),pre-existing queue,yes
app.engines.platform_commerce.router,3,MEDIUM,no,deposit ownership asserted,YES -- security deposit,payment gateway initiate,2F-26 sweep,yes
app.engines.admin_catalog.brand_provider_router,2,MEDIUM,no,parent service ownership,no,no,pre-existing queue,yes
app.engines.analytics.provider_router,1,HIGH,no,client filters,no,export generation,pre-existing queue,yes
app.engines.admin_catalog.recommendation_router,1,MEDIUM,no,self-tenant,no,no,pre-existing queue,yes
app.engines.admin_catalog.service_option_provider_router,1,MEDIUM,no,parent service ownership,no,no,pre-existing queue,yes
app.engines.rag.router,1,HIGH,no,knowledge-base tenancy,no,LLM query persistence,2F-26 sweep,yes
