capability,initiator,approver,final_authority,persona,permission_or_dependency,tenant_ownership,customer_ownership,assignment_requirement,legal_source_state,result_state,amount_mutability,job_lifecycle_effect,financial_effect,audit_requirement,notification_requirement,alternate_route,product_policy_uncertainty
Create quote,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,n/a (new),draft,mutable,none,none,QEV_CREATED,none,none,none
Update draft quote (add/update/remove item),tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,draft/submitted_to_provider/provider_rejected/revision_requested/revised (ITEM_EDITABLE_QUOTE_STATUSES),unchanged,mutable (server-recalculated total),none,none,QEV_ITEM_*,none,none,none
Send quote to customer,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,draft/provider_approved/revised,sent_to_customer,locked from item edits (status-gated),job -> awaiting_customer_quote_approval,none,QEV_SENT_TO_CUSTOMER,notify_customer_quote_sent,none,none
Withdraw/cancel quote,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,any non-final status,cancelled,frozen (terminal),none,none,QEV_CANCELLED,none,none,none
Mark revised,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,provider_rejected/revision_requested,revised,mutable again,none,none,QEV_REVISED,none,none,none
Expire quote,none found (no route/service method reaches QS_EXPIRED),n/a,n/a,PRODUCT_DECISION_REQUIRED,n/a,n/a,n/a,n/a,n/a,expired,n/a,n/a,n/a,n/a,n/a,none,"QS_EXPIRED exists in the state machine and QUOTE_FINAL_STATUSES, but no writer transitions a quote to it -- expiry appears to be a designed-but-unimplemented capability (see known-limitations.md), not built this slice"
View quote (provider),tenant_owner/staff,n/a,n/a,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user + tenant_id ownership (this slice),yes,no,none,any,n/a,read-only,none,none,none,none,none,none
Approve quote,customer,customer (self),customer,CUSTOMER_QUOTE_APPROVAL,require_customer + customer_id ownership,no,yes,none,sent_to_customer,customer_approved,frozen (locked_at set),job -> quote_approved,none,QEV_CUSTOMER_APPROVED,notify_provider_quote_decision,none,none
Reject quote,customer,customer (self),customer,CUSTOMER_QUOTE_REJECTION,require_customer + customer_id ownership,no,yes,none,sent_to_customer,customer_rejected,frozen (terminal),job -> quote_rejected,none,QEV_CUSTOMER_REJECTED,notify_provider_quote_decision,none,none
Request revision,customer,customer (self),customer,CUSTOMER_QUOTE_CHANGE_REQUEST,require_customer + customer_id ownership,no,yes,none,sent_to_customer,revision_requested,unchanged (not locked -- provider must act next),job -> quote_revision_requested,none,QEV_REVISION_REQUESTED,notify_provider_quote_decision,none,none
Add customer comment,none found,n/a,n/a,PRODUCT_DECISION_REQUIRED,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,"no distinct 'comment' capability exists -- reason fields on reject/request-revision serve this purpose; not a separate route"
Create checklist,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes (now validated against parent Job -- this slice),no,none proven,n/a (new),pending,n/a,none,none,none,none,none,none
Update checklist item,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,checklist not completed,in_progress (if was pending),n/a,none,none,none,none,none,none
Complete checklist,tenant_owner/staff,n/a,tenant/staff,TENANT_PROVIDER_QUOTE_ADMIN,require_owner_or_office_staff_mutation,yes,no,none proven,not already completed,completed,frozen (terminal),none (no Job-status sync found),none,none,none,none,"no Job-status side effect on checklist completion -- may be a genuine gap or intentionally decoupled from quote/Job lifecycle; not fixed (would require inventing new policy)"
Create quote from inspection,none found,n/a,n/a,DISCONNECTED,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,"no code path links a completed inspection checklist to automatic quote creation -- these are two independent capabilities in this module, not a designed integration"
Attach quote to Job,implicit (job_id on creation),n/a,n/a,n/a,n/a,yes,no,none,n/a,n/a,n/a,none,none,none,none,none,already implicit via job_id FK at creation, not a separate action
Create invoice from approved quote,none found,n/a,n/a,DISCONNECTED,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none built,n/a,n/a,none,"quote_checklist contains zero invoice/payment code -- this integration does not exist and is out of scope to build (quote-financial-boundary.md)"
