method,path,endpoint,module,final_classification,evidence
POST,/v1/auth/api-keys,create_api_key,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
PATCH,/v1/auth/api-keys/{key_id},update_api_key,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
POST,/v1/auth/staff/invite,invite_staff,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
PATCH,/v1/auth/staff/{user_id}/permissions,update_permissions,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,canonical-mutation-additions.csv
POST,/v1/auth/impersonate,impersonate,auth.router,PLATFORM_ADMIN_MUTATION,"require_permission(P.PLATFORM_IMPERSONATE) -- platform-scoped, super_admin-tier permission"
POST,/v1/auth/impersonate/{session_id}/end,end_impersonation,auth.router,PLATFORM_ADMIN_MUTATION,"same permission family as impersonate"
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_permission(P.AUTH_STAFF_INVITE) -- verified tenant-scoped in service layer (not independently re-tested this slice)"
PATCH,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,auth.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_permission(P.STAFF_MANAGE) -- verified tenant-scoped in service layer (not independently re-tested this slice)"
POST,/v1/auth/login,login,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency -- public unauthenticated endpoint by design (credential exchange)"
POST,/v1/auth/register/customer,register_customer,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency -- public unauthenticated registration by design"
POST,/v1/auth/password/reset/request,request_password_reset,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency by design (must work for a locked-out user)"
POST,/v1/auth/password/reset/confirm,confirm_password_reset,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency by design; token-based, not session-based"
POST,/v1/auth/otp/send,send_otp,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency by design (pre-login OTP flow)"
POST,/v1/auth/otp/verify,verify_otp,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency by design"
POST,/v1/auth/token/refresh,refresh_token,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency by design -- refresh token itself is the credential"
POST,/v1/auth/token/introspect,introspect_token,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no auth dependency -- validates a token as a service-to-service credential check"
POST,/v1/auth/logout,logout,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) only -- mutates the caller's own session, no arbitrary ID accepted; category broadened here beyond its 'customer' name to cover any authenticated principal acting on their own account, per this contract's own ownership criteria (see route-classification-contract.md)"
POST,/v1/auth/logout-all,logout_all,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"same self-account rationale as logout"
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"same self-account rationale"
DELETE,/v1/auth/sessions/{session_id},revoke_session,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user); service verifies session belongs to caller before revoking (self-account ownership) -- not independently re-verified this slice"
POST,/v1/auth/sessions/{session_id}/approve,approve_device,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"same self-account rationale, not independently re-verified this slice"
PATCH,/v1/auth/me,update_profile,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- caller updates own profile only"
POST,/v1/auth/password/change,change_password,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- caller changes own password"
POST,/v1/auth/change-password-required,change_password_required,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user), explicit code comment 'this IS the force-change endpoint' -- self-account"
POST,/v1/auth/mfa/setup,setup_mfa,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- self-account MFA enrollment"
POST,/v1/auth/mfa/confirm,confirm_mfa,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- self-account"
POST,/v1/auth/mfa/verify,verify_mfa,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- self-account"
POST,/v1/auth/mfa/disable,disable_mfa,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- self-account"
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,auth.router,CUSTOMER_SELF_SERVICE_MUTATION,"Depends(get_current_user) -- self-account"
POST,/v1/auth/staff/invite/accept,accept_invite,auth.router,PUBLIC_OR_CALLBACK_MUTATION,"no Depends(get_current_user) -- caller is not yet authenticated (accepting an invite to create their own account); token-based, not session-based"
