module,route_count,authenticated_only_exposure,cross_role_exposure,cross_tenant_potential,customer_data_sensitivity,financial_consequence,identity_session_consequence,lifecycle_consequence,destructive_irreversible,bulk_blast_radius,alternate_bypass,production_caller_evidence,test_absence,verifier_absence,product_decision_dependency,implementation_confidence,final_rank
compliance,6,3,2,3,3,1,1,2,1,1,1,3,1,1,2,3,CRITICAL
package_commerce,1,3,1,1,1,3,1,2,1,1,1,2,2,1,2,3,HIGH
customer_reviews,2,3,1,2,1,1,1,1,1,1,1,2,2,1,1,3,MEDIUM
marketing_automation,3,3,1,2,1,1,1,2,1,1,1,1,2,1,1,3,MEDIUM
media_profile,6,3,1,1,1,1,1,1,2,1,1,2,2,1,1,3,LOW
profile,3,3,1,1,1,1,1,2,1,1,1,2,2,1,1,3,LOW
admin_catalog_brand,2,3,1,1,1,1,1,1,1,1,1,2,2,1,1,3,LOW
admin_catalog_recommendation,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,3,LOW
admin_catalog_service_option,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,3,LOW
analytics,1,3,1,2,2,1,1,1,1,1,1,1,2,1,1,3,LOW

Scoring key (1=low, 2=medium, 3=high, per dimension): authenticated_only_exposure (3=zero role gate at all), cross_role_exposure (any role can hit it), cross_tenant_potential (can a caller act on another tenant's data), customer_data_sensitivity, financial_consequence, identity_session_consequence, lifecycle_consequence (does it change a workflow's legal state), destructive_irreversible, bulk_blast_radius, alternate_bypass (weaker same-record route exists), production_caller_evidence (3=confirmed live frontend caller), test_absence (3=no dedicated tests at all), verifier_absence (3=no runtime verifier), product_decision_dependency (3=blocked on an unresolved product question), implementation_confidence (3=high confidence a clean fix is achievable within one slice).

Rank derivation:
- compliance: CRITICAL -- the ONLY module combining regulatory (DPDP) data sensitivity, a genuine schema-level object-ownership gap (no real tenant_id column on the touched tables, unlike every other remaining module's simpler self-owned-by-construction pattern), AND a confirmed live authorization bug (withdraw_consent hardcodes tenant_id=None, discarding the caller's actual tenant on a regulatory consent record). No other remaining module combines a schema-level gap with regulatory sensitivity.
- package_commerce: HIGH -- financial/entitlement transaction, but a single route with a well-understood ownership model (purchase creates a new, self-owned entitlement row) and no regulatory dimension; ranked below compliance because its ownership gap is a semantics question (idempotency/duplicate-purchase policy) rather than a structural authorization bug.
- customer_reviews / marketing_automation: MEDIUM -- zero-auth (AUTHENTICATED_ONLY_NO_PERMISSION_CHECK, the weakest guard_status in the remaining set) but no financial/regulatory dimension; customer_reviews carries a public-facing impersonation risk (a submitted reply is publicly visible) that marketing_automation does not, but both remain MEDIUM given the low blast radius (single-object mutations, no bulk operation).
- media_profile / profile / admin_catalog_* / analytics: LOW -- self-owned-by-construction (own tenant/staff profile or own tenant's catalog setup), no cross-tenant potential, no financial/regulatory dimension. admin_catalog_brand's set_supported_brands and admin_catalog_service_option's set_supported_options both carry a MEDIUM ownership sub-risk (service_id parent-tenant ownership not verified) but this alone does not elevate either above LOW given the otherwise narrow blast radius.
