rank,router_module,route_count,canonical_row_references,severity,primary_gap,main_risk,product_policy_dependency,prerequisite,recommended_slice,implementation_readiness
0 (PROTECTED IN 2F-20),app.engines.compliance.provider_router,6,see ../phase-02a-slice-02f20/selected-next-module-route-list.csv,CLOSED (authorization dimension) / DOMAIN_INTEGRITY_BLOCKED (export worker),was PERMISSION_ONLY_NOT_SCOPE_AWARE + missing schema-level tenant_id + tenant_id=None defect -- all fixed via require_tenant_owner_mutation + atomic metadata_json + real tenant_id passthrough,export-generation worker remains EXPORT_WORKER_NOT_IMPLEMENTED (see compliance-export-worker-discovery.md) -- domain-integrity gap, not a security gap,resolved for this slice's scope -- whether staff should be admitted remains open for a future refinement,none,2F-20 (DONE),yes,none
1,app.engines.package_commerce.tenant_router,1,see remaining-route-inventory.csv,HIGH,PERMISSION_ONLY_NOT_SCOPE_AWARE,financial/entitlement transaction; purchase idempotency/duplicate-purchase semantics unresolved,possible -- purchase/entitlement semantics decision,none,bundle with a future finance-adjacent slice,mostly
2,app.engines.customer_reviews.provider_router,2,see remaining-route-inventory.csv,MEDIUM,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,public-facing content / provider impersonation risk on submit_reply,none apparent,none,own small slice or bundle with a future public-content slice,yes
3,app.engines.marketing_automation.provider_router,3,see remaining-route-inventory.csv,MEDIUM,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,zero-auth but limited caller evidence; campaign review state,none apparent,none,small future slice,yes
4,app.engines.media.new_router (profile-photo/logo routes only),6,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-owned profile media,none apparent,none,small future slice,yes
5,app.engines.profile.router,3,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-profile; business-profile review state,none apparent,none,bundle with media.new_router (rank 4),yes
6,app.engines.admin_catalog.brand_provider_router,2,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,service_id parent-tenant ownership unverified for set_supported_brands,none apparent,none,bundle with recommendation_router/service_option_provider_router (ranks 7-8),yes
7,app.engines.admin_catalog.recommendation_router,1,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,scope-without-ownership on self-tenant recommendations,none apparent,none,bundle with brand_provider_router (rank 6),yes
8,app.engines.admin_catalog.service_option_provider_router,1,see remaining-route-inventory.csv,LOW,PERMISSION_ONLY_NOT_SCOPE_AWARE,service_id parent-tenant ownership unverified,none apparent,none,bundle with brand_provider_router (rank 6),yes
9,app.engines.analytics.provider_router,1,see remaining-route-inventory.csv,LOW,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,zero-auth on low-traffic report-run route,none apparent,none,bundle with any small future slice,yes

Route-count sum check: 6 (rank 0, selected) + 1+2+3+6+3+2+1+1+1 (ranks 1-9) = 6 + 20 = 26 -- matches the reconciled unprotected count exactly.
