entity,source_state,result_state,trigger,persona,ownership_required,rating_aggregate_effect,audit_event,reversible
CustomerReview,(none),pending,customer submit_review,customer,eligibility + own record,none until approved,review.submitted,yes
CustomerReview,pending|approved,pending,customer edit_review,customer,own review + edit window,recompute on later approval,review.edited,yes
CustomerReview,pending,approved,admin approve_review,super_admin,platform-wide,recomputed (visibility public),review.approved,via hide
CustomerReview,*,rejected,admin reject_review,super_admin,platform-wide,recomputed,review.rejected,terminal in practice
CustomerReview,approved,hidden,admin hide_review,super_admin,platform-wide,recomputed,review.hidden,via approve
CustomerReview,*,deleted,admin delete_review,super_admin,platform-wide,recomputed,review.deleted,terminal
CustomerReview,* (not flagged),flagged,provider flag_review,tenant_owner,review.tenant_id == JWT tenant,NONE -- flagging does not touch aggregates,flag.created,admin resolve_flag
CustomerReview,* (not flagged),flagged,customer flag_review,customer,review.customer_id == principal,NONE,flag.created,admin resolve_flag
ReviewFlag,(none),open,either flag route,tenant_owner | customer,as above,none,flag.created,yes
ReviewFlag,open,resolved,admin resolve_flag,super_admin,platform-wide,none,flag.resolved,terminal
ReviewReply,(none),pending|approved,provider submit_reply,tenant_owner,review.tenant_id == JWT tenant,NONE,reply.submitted,one per review
ReviewReply,pending,approved,admin approve_reply,super_admin,platform-wide,none,reply.approved,yes
ReviewReply,pending,rejected,admin reject_reply,super_admin,platform-wide,none,reply.rejected,yes
