method,path,endpoint,source,final_guard,permission,access_scope_enforced,principal_tenant_source,actor_source,target_source,mutated_resource,service_method
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,app/engines/auth/router.py,require_tenant_mutation_permission,auth:apikeys:manage,yes,user.tenant_id (token),user.user_id (token),API key addressed by id,ApiKey (api_keys),AuthService.revoke_api_key
PATCH,/v1/auth/api-keys/{key_id},update_api_key,app/engines/auth/router.py,require_tenant_mutation_permission,auth:apikeys:manage,yes,user.tenant_id (token),user.user_id (token),API key addressed by id,ApiKey (api_keys),AuthService.update_api_key
POST,/v1/auth/api-keys,create_api_key,app/engines/auth/router.py,require_tenant_mutation_permission,auth:apikeys:manage,yes,user.tenant_id (token),user.user_id (token),tenant-owned API key,ApiKey (api_keys),AuthService.create_api_key
POST,/v1/auth/change-password-required,change_password_required,app/engines/auth/router.py,get_current_user,(none - self-service),n/a,n/a,user.user_id (token),the authenticated principal,User.password_hash,AuthService.change_password_required
POST,/v1/auth/impersonate,impersonate,app/engines/auth/router.py,require_permission(PLATFORM_IMPERSONATE),platform:impersonate,n/a,n/a,user.user_id (token),target user assumed by a platform principal,Session/token,AuthService.impersonate
POST,/v1/auth/mfa/confirm,confirm_mfa,app/engines/auth/router.py,get_current_user,(none - self-service),n/a,n/a,user.user_id (token),the authenticated principal,MfaSecret,AuthService.confirm_mfa
POST,/v1/auth/mfa/disable,disable_mfa,app/engines/auth/router.py,get_current_user,(none - self-service),n/a,n/a,user.user_id (token),the authenticated principal,MfaSecret,AuthService.disable_mfa
POST,/v1/auth/staff/invite,invite_staff,app/engines/auth/router.py,require_tenant_mutation_permission,auth:staff:invite,yes,user.tenant_id (token),user.user_id (token),new staff user in a tenant,User (staff),AuthService.invite_staff
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,app/engines/auth/router.py,require_tenant_mutation_permission,auth:staff:manage,yes,user.tenant_id (token),user.user_id (token),staff user addressed by id,User (staff),AuthService.deactivate_staff
PUT,/v1/auth/me,update_profile,app/engines/auth/router.py,get_current_user,(none - self-service),n/a,n/a,user.user_id (token),the authenticated principal,User (self profile),AuthService.update_profile
PUT,/v1/auth/password/change,change_password,app/engines/auth/router.py,get_current_user,(none - self-service),n/a,n/a,user.user_id (token),the authenticated principal,User.password_hash,AuthService.change_password
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,app/engines/auth/router.py,require_tenant_mutation_permission,auth:permissions:manage,yes,user.tenant_id (token),user.user_id (token),staff user addressed by id,StaffPermission,AuthService.update_permissions
