filename,round
approval-gate.md,see-file-header
area-reconciliation.md,see-file-header
backend-non-change-report.md,see-file-header
bargain-configuration-safety.md,see-file-header
bargain-contract-audit.md,see-file-header
bargain-optionality-decision.md,see-file-header
bargain-rule-before-after.csv,see-file-header
bargain-rule-removal-report.md,see-file-header
booking-confirmation-live-evidence.md,see-file-header
booking-detail-live-evidence.md,see-file-header
booking-detail-visual-audit.md,see-file-header
booking-request-authority-audit.md,see-file-header
booking-submission-live-evidence.md,see-file-header
booking-submission-workflow.md,see-file-header
canonical-booking-contract.md,see-file-header
canonical-booking-live-evidence.md,see-file-header
chat-language-selection.md,see-file-header
console-runtime-report.md,see-file-header
customer-authentication.md,see-file-header
customer-information-architecture.md,see-file-header
deepseek-conversation-contract.md,see-file-header
deferred-items.md,see-file-header
existing-customer-app-audit.md,see-file-header
final-status-rationale.md,see-file-header
frontend-non-regression-report.md,see-file-header
implementation-summary.md,see-file-header
known-limitations.md,see-file-header
language-architecture-compliance.md,see-file-header
light-dark-runtime-report.md,see-file-header
normal-price-booking-path.md,see-file-header
notifications-visual-audit.md,see-file-header
old-scaffold-closure-report.md,see-file-header
old-scaffold-removal-report.md,see-file-header
other-app-non-regression-report.md,see-file-header
pipeline-provenance-report.md,see-file-header
playwright-runtime-report.md,see-file-header
price-live-evidence.md,see-file-header
production-design-route-audit.csv,see-file-header
production-route-design-census.csv,see-file-header
repeated-test-stability-report.md,see-file-header
round-4-implementation-summary.md,see-file-header
round-5-branch-commit-report.md,see-file-header
round-5-implementation-summary.md,see-file-header
round3-runtime-proof-report.md,see-file-header
seed-before-after-report.md,see-file-header
seed-idempotency-report.md,see-file-header
seed-removal-report.md,see-file-header
service-detail-visual-audit.md,see-file-header
serviceability-live-evidence.md,see-file-header
tenant-service-area-seed-contract.md,see-file-header
test-data-environment-safety.md,see-file-header
typecheck-error-classification.md,see-file-header
typecheck-error-inventory.csv,see-file-header
typecheck-reconciliation.md,see-file-header
unit-test-report.md,see-file-header
visual-browser-evidence.md,see-file-header
visual-runtime-evidence.md,see-file-header
