path,type,git_tracked,classification,reason,risk,approved_action,rollback_method
backend.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8000_final.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8000_final2.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8000_final3.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001_v2.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001_v3.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001_v4.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001_v5.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_8001_v6.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_dashboard.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_dashboard2.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_err.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_live.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_live_err.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_marketing.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_new.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_new_err.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_stderr.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
backend_stderr_8001.log,log,false,DELETE_CONFIRMED,stale debug log gitignored,none,DELETE,not applicable - regenerable log
