method,path,endpoint_name,capability,record_type,table,permission,roles_granted,super_admin_wildcard,tenant_targeting,object_ownership,amount_source,state_precondition,state_result,transaction_behavior,idempotency,ledger_impact,audit_event,frontend_caller,final_classification
POST,/v1/admin/packages,create_package,Create package definition,ServicePackage,service_packages,PACKAGES_CREATE,NONE,YES,n/a (platform-global),n/a,client-supplied (validated non-negative),none,new row created,single flush + audit,n/a (not amount-repeatable),none,package_created,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
PUT,/v1/admin/packages/{package_id},update_package,Update package definition,ServicePackage,service_packages,PACKAGES_UPDATE,NONE,YES,n/a,package_id-loaded row,client-supplied (validated non-negative for price/deposit/credits),none,fields updated,single flush + audit,n/a,none,package_updated,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
DELETE,/v1/admin/packages/{package_id},delete_package,Soft-delete package,ServicePackage,service_packages,PACKAGES_ARCHIVE,NONE,YES,n/a,package_id-loaded row,n/a,blocks if any TenantPackageAssignment exists for this package (pre-existing),deleted_at set; is_active=false,single flush + audit,YES (existing-assignment guard prevents destructive delete),none,package_deactivated (reason=soft_deleted),super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/packages/{package_id}/activate,activate_package,Activate package,ServicePackage,service_packages,PACKAGES_ACTIVATE,NONE,YES,n/a,package_id-loaded row,n/a,none (idempotent boolean toggle),is_active=true,single flush + audit,YES (idempotent by nature -- re-activating an active package is a safe no-op-ish re-write),none,package_updated,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/packages/{package_id}/deactivate,deactivate_package,Deactivate package,ServicePackage,service_packages,PACKAGES_DEACTIVATE,NONE,YES,n/a,package_id-loaded row,n/a,none (idempotent boolean toggle),is_active=false,single flush + audit,YES,none,package_deactivated,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/packages/{package_id}/clone,clone_package,Clone package with features/limits,ServicePackage + PackageFeature + PackageLimit,service_packages + package_features + package_limits,PACKAGES_CLONE,NONE,YES,n/a,package_id-loaded row (source),n/a (copies source values),none,new package + copied features/limits created,single flush + audit,n/a,none,package_created (implied),super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/packages/{package_id}/features,create_package_feature,Add package feature,PackageFeature,package_features,PACKAGES_UPDATE,NONE,YES,n/a,package_id-loaded row,n/a,none,new row created,single flush + audit,n/a,none,package_updated (implied via feature attach),super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
PUT,/v1/admin/packages/{package_id}/features/{feature_id},update_package_feature,Update package feature,PackageFeature,package_features,PACKAGES_UPDATE,NONE,YES,n/a,feature_id-loaded row scoped to package_id,n/a,none,fields updated,single flush + audit,n/a,none,none observed,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
DELETE,/v1/admin/packages/{package_id}/features/{feature_id},delete_package_feature,Delete package feature,PackageFeature,package_features,PACKAGES_UPDATE,NONE,YES,n/a,feature_id-loaded row scoped to package_id,n/a,none,row deleted,single flush + audit,n/a,none,none observed,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/packages/{package_id}/limits,create_package_limit,Add package limit,PackageLimit,package_limits,PACKAGES_UPDATE,NONE,YES,n/a,package_id-loaded row,n/a,none,new row created,single flush + audit,n/a,none,none observed,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
PUT,/v1/admin/packages/{package_id}/limits/{limit_id},update_package_limit,Update package limit,PackageLimit,package_limits,PACKAGES_UPDATE,NONE,YES,n/a,limit_id-loaded row scoped to package_id,n/a,none,fields updated,single flush + audit,n/a,none,none observed,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
DELETE,/v1/admin/packages/{package_id}/limits/{limit_id},delete_package_limit,Delete package limit,PackageLimit,package_limits,PACKAGES_UPDATE,NONE,YES,n/a,limit_id-loaded row scoped to package_id,n/a,none,row deleted,single flush + audit,n/a,none,none observed,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
POST,/v1/admin/tenants/{tenant_id}/packages/{package_id}/purchase,admin_purchase_package,Record admin-side tenant package purchase,TenantPackageAssignment,tenant_package_assignments,PACKAGES_CREATE,NONE,YES,tenant_id (URL param -- admin explicitly targets a tenant),package_id (must be is_active),server-derived price (from ServicePackage.package_price -- client cannot override),PACKAGE_ALREADY_PENDING blocks a 2nd pending assignment for same tenant+package (pre-existing); package must be is_active,new assignment row created (status=paid_pending_approval since is_paid=True),single flush + explicit db.commit() + audit,YES (duplicate-pending guard),none directly (credits granted only on later admin approval per code comment),tenant.package_selected,super-admin app,PLATFORM_PACKAGE_ADMIN_MUTATION
GET,/v1/admin/tenants/{tenant_id}/security-deposit,admin_get_deposit,[DEPRECATED] Get tenant security deposit,none (raises before any lookup),n/a,none (no Depends() at all),n/a,YES (via HTTPException, not a permission gate),n/a,n/a,n/a,n/a,always raises HTTPException(410) before touching DB,n/a,n/a,none,none,none (dead code caller confirmed via grep),DEPRECATED_410
POST,/v1/admin/tenants/{tenant_id}/security-deposit/mark-paid,admin_mark_deposit_paid,[DEPRECATED] Mark security deposit paid,none (raises before any lookup),n/a,none,n/a,YES,n/a,n/a,n/a,n/a,always raises HTTPException(410),n/a,n/a,none,none,none,DEPRECATED_410
