screen_or_component,file,dark_mode_status,notes
Card (shared),src/components/Card.tsx,MIGRATED,uses useTheme(); surfaceCard token
Button (shared),src/components/Button.tsx,MIGRATED,useTheme() + 44px min height + a11y role/state
JobStatusBadge (shared),src/components/JobStatusBadge.tsx,MIGRATED,dark status palette in lib/jobStatus.ts (CUSTOMER_STATUS_COLOR_DARK)
BookingCard (shared),src/components/BookingCard.tsx,MIGRATED,useTheme() + accessibilityLabel summary
StarRating (shared),src/components/StarRating.tsx,MIGRATED,useTheme() + per-star a11y
Skeleton (shared),src/components/Skeleton.tsx,MIGRATED,useTheme() + reduced-motion aware
App root / ThemeProvider,src/App.tsx,BUILT,wraps AuthProvider+AppNavigator
AppNavigator (headers/StatusBar/NavigationContainer),src/navigation/AppNavigator.tsx,MIGRATED,theme-aware headers navTheme StatusBar mode-driven flash-of-wrong-theme gate on isLoaded
TabNavigator (tab bar/icons),src/navigation/TabNavigator.tsx,MIGRATED,useTheme() tab bar bg/border/active-inactive colors + tab a11y labels
LoginScreen,src/screens/LoginScreen.tsx,MIGRATED,hero stays brand-navy both modes; sheet/inputs theme-aware; input labels added
HomeScreen,src/screens/HomeScreen.tsx,MIGRATED,category grid uses surfaceRaised in dark instead of pastel bg; TYPE_COLOR_DARK variant
DeepSeekChatScreen (SmartBot),src/screens/DeepSeekChatScreen.tsx,MIGRATED,bubbles use dedicated bubbleCustomer*/bubbleAssistant* tokens; language modal + booking-flow modal theme-aware; a11y labels on header/bubbles/composer
SettingsScreen,src/screens/SettingsScreen.tsx,MIGRATED,adds real System/Light/Dark selector (persisted via ThemeContext)
BookingsListScreen,src/screens/BookingsListScreen.tsx,NOT_MIGRATED,still imports static theme (light-only) -- Pass 3 work
BookingDetailScreen,src/screens/BookingDetailScreen.tsx,NOT_MIGRATED,Pass 3 work
ChatScreen,src/screens/ChatScreen.tsx,NOT_MIGRATED,Pass 3 work
JobTrackingScreen,src/screens/JobTrackingScreen.tsx,NOT_MIGRATED,Pass 3 work
ProfileScreen,src/screens/ProfileScreen.tsx,NOT_MIGRATED,Pass 3 work
ReviewScreen,src/screens/ReviewScreen.tsx,NOT_MIGRATED,Pass 3 work
NotificationsScreen,src/screens/NotificationsScreen.tsx,NOT_MIGRATED,Pass 3 work
AddressBookScreen,src/screens/AddressBookScreen.tsx,NOT_MIGRATED,Pass 3 work
ServiceHistoryScreen,src/screens/ServiceHistoryScreen.tsx,NOT_MIGRATED,Pass 3 work
ServiceDetailScreen,src/screens/ServiceDetailScreen.tsx,NOT_MIGRATED,Pass 3 work
HelpSupportScreen,src/screens/HelpSupportScreen.tsx,NOT_MIGRATED,Pass 3 work
PaymentMethodsScreen,src/screens/PaymentMethodsScreen.tsx,NOT_MIGRATED,Pass 3 work
InvoiceScreen,src/screens/InvoiceScreen.tsx,NOT_MIGRATED,Pass 3 work
QuoteApprovalScreen,src/screens/QuoteApprovalScreen.tsx,NOT_MIGRATED,Pass 3 work
