method,path,set,previous_status,final_status,closed
POST,/v1/provider/profile/logo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
DELETE,/v1/provider/profile/logo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
POST,/v1/provider/profile/shop-photo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
DELETE,/v1/provider/profile/shop-photo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
POST,/v1/staff/profile/photo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
DELETE,/v1/staff/profile/photo,A,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,STAFF_EXECUTION_ROLE_SCOPE_AWARE,yes
POST,/v1/me/profile-photo,A,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
POST,/v1/media/upload,A,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no
POST,/v1/media/{media_id}/replace,A,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no
POST,/v1/media/upload/initiate,B,(not canonical),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no
POST,/v1/media/upload/{session_id}/confirm,B,(not canonical),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},B,(not canonical),PERMISSION_ONLY_NOT_SCOPE_AWARE,no
