method,path,endpoint,guard_status,tenant_evidence,mutation_evidence,verdict,reason
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,TENANT_MUTATION_ROLE_SCOPE_AWARE,,commit,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,TENANT_MUTATION_ROLE_SCOPE_AWARE,,commit,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/provider/onboarding/refresh,refresh_onboarding,TENANT_MUTATION_ROLE_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
POST,/v1/provider/team-members/{member_id}/create-login,create_member_login,TENANT_MUTATION_ROLE_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
PUT,/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},my_job_checklist_item,STAFF_EXECUTION_ROLE_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
DELETE,/v1/tenant/checklist-templates/{template_id},delete_template,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,self.actor_tenant_id,delete(,CLASSIFIER_LIMITATION_KEEP,route-level evidence CONFIRMS tenant mutation; the automated persona/side-effect pass missed it (depth or indirection)
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},update_item,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,Update ,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
DELETE,/v1/tenant/checklist-templates/{template_id}/items/{item_id},delete_item,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,delete(,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/tenant/service-areas/validate,validate_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,u.tenant_id,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,Update ,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,delete(,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,add|commit,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,Update ,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,delete(,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,,commit,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
POST,/v1/tenant/staff/{user_id}/lock,lock_staff,TENANT_MUTATION_ROLE_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
POST,/v1/tenant/staff/{user_id}/sessions/revoke-all,revoke_staff_sessions,TENANT_MUTATION_ROLE_SCOPE_AWARE,_tenant_id(,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
POST,/v1/tenant/staff/{user_id}/unlock,unlock_staff,TENANT_MUTATION_ROLE_SCOPE_AWARE,,,REVIEW_NO_DIRECT_MUTATION_EVIDENCE,"no direct mutation expression in handler; likely delegates to a service method -- retained, removal needs capability proof"
POST,/v1/tenants/onboarding/signup,submit_signup,PUBLIC_NO_AUTH,,add|flush,KEEP_TENANT_SOURCE_INDIRECT,mutation confirmed; tenant derived indirectly via service layer
