endpoint,previous_guard,new_guard,required_permission,acting_persona,tenant_ownership,read_only_result,authorized_result,unauthorized_result,cross_tenant_result,tests
enable_service,require_tenant_mutation_permission(TENANT_UPDATE) (unchanged),same (unchanged) + service-layer tenant_id-override fix,TENANT_UPDATE,tenant_owner,server-derived + FIXED: _require_tenant_id rejects a foreign tenant_id query param,403 (customer_support_limited denied -- unchanged pre-existing behavior),200/business-logic error (cleared auth),403 (staff/technician/customer/guest lack TENANT_UPDATE),403 PERMISSION_DENIED (NEW -- foreign tenant_id query param now rejected; direct test proof),TestCrossTenantTenantIdOverrideRejected + TestTenantOwnerCatalogMappingAuthorization
update_enabled_service,require_tenant_mutation_permission(TENANT_UPDATE) (unchanged),unchanged,TENANT_UPDATE,tenant_owner,_assert_tenant_owns_ts (unchanged),403,200/business-logic error,403,404 NotFoundException (foreign tenant_service_id rejected -- direct test proof),TestCrossTenantServiceOwnershipRejection
disable_service,require_tenant_mutation_permission(TENANT_UPDATE) (unchanged),same + service-layer fix,TENANT_UPDATE,tenant_owner,FIXED: _require_tenant_id rejects foreign tenant_id,403,200/business-logic error,403,403 PERMISSION_DENIED (NEW),TestCrossTenantTenantIdOverrideRejected
set_tenant_service_types,unchanged,unchanged,TENANT_UPDATE,tenant_owner,_assert_tenant_owns_ts (unchanged),403,200/business-logic error,403,404 (via parent ownership check),TestTenantOwnerCatalogMappingAuthorization
set_tenant_service_brands,unchanged,unchanged,TENANT_UPDATE,tenant_owner,unchanged,403,200/business-logic error,403,404,same
set_tenant_type_pricing,unchanged,unchanged,TENANT_UPDATE,tenant_owner,unchanged,403,200/business-logic error,403,404,same
set_tenant_brand_pricing,unchanged,unchanged,TENANT_UPDATE,tenant_owner,unchanged,403,200/business-logic error,403,404,same
publish_tenant_service,unchanged,unchanged,TENANT_UPDATE,tenant_owner,unchanged,403,200/business-logic error,403,404 (direct test proof),TestCrossTenantServiceOwnershipRejection
save_tenant_service_draft,unchanged,unchanged,TENANT_UPDATE,tenant_owner,unchanged,403,200/business-logic error,403,404,TestTenantOwnerCatalogMappingAuthorization
preview_tenant_price_options,get_current_user (unchanged -- confirmed correct, no change needed),unchanged,none,any authenticated user,n/a (no record touched),n/a (no mutation to deny),200 (all roles -- correctly not gated, since no record is touched),n/a,n/a,TestModuleVerificationExitsClean (confirms FALSE_POSITIVE allowlist entry)
