method,path,module
POST,/v1/provider/brands/requests,admin_catalog_provider_setup
POST,/v1/provider/brands/services/{service_id}/supported,admin_catalog_provider_setup
POST,/v1/provider/setup/recommendations,admin_catalog_provider_setup
POST,/v1/provider/setup/services/{service_id}/supported-options,admin_catalog_provider_setup
PUT,/v1/provider/business-profile,profile_technician_self_service
POST,/v1/provider/business-profile/submit-review,profile_technician_self_service
PUT,/v1/staff/profile,profile_technician_self_service
PUT,/v1/me/profile,profile_universal_self_service
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,marketing_automation_provider
POST,/v1/provider/marketing/campaigns/generate-launch,marketing_automation_provider
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,marketing_automation_provider
POST,/v1/provider/reports/run,analytics_provider_reports
POST,/v1/rag/query,rag_query
GET,/v1/commerce/tenants/{tenant_id}/deposit,platform_commerce_deposit
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,platform_commerce_deposit
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,platform_commerce_deposit
POST,/v1/enterprise/saved-views,enterprise_grid_saved_views
PUT,/v1/enterprise/saved-views/{view_id},enterprise_grid_saved_views
DELETE,/v1/enterprise/saved-views/{view_id},enterprise_grid_saved_views
POST,/v1/enterprise/saved-views/{view_id}/set-default,enterprise_grid_saved_views
PUT,/v1/enterprise/column-preferences,enterprise_grid_preferences_exports
POST,/v1/enterprise/exports,enterprise_grid_preferences_exports
DELETE,/v1/webhooks/endpoints/{endpoint_id},webhook_endpoint_management
DELETE,/v1/geo/zones/{zone_id},geo_zone_management
