scenario,provably_authorized,classification,test
A1-intended asset (staff-uploaded) into A1 (staff is the uploader),YES,UPLOADER_SELECTS_AUTHORIZED_THREAD,test_staff_can_first_claim_own_upload_into_customer_thread
A1-intended asset (staff-uploaded) into A2 (same customer different thread),NO -- once claimed by A1 the existing 2F-18C cross-conversation lock rejects A2; if unclaimed and staff is NOT its uploader in A2's context it also fails the new office ambiguity rule,AMBIGUOUS_CONTEXT_REJECTED / CONVERSATION_IDOR_REJECTED (2F-18C mechanism),covered by 2F-18C's cross-job-reuse test plus this slice's ambiguity test
Ambiguous customer asset (no staff uploader match) into A1,NO,AMBIGUOUS_CONTEXT_REJECTED (THIS SLICE),test_staff_cannot_first_claim_unowned_asset_into_customer_thread
Ambiguous customer asset (no staff uploader match) into A2,NO (same mechanism -- customer_id match alone is insufficient regardless of which of the customer's threads),AMBIGUOUS_CONTEXT_REJECTED (THIS SLICE),same mechanism as above, not independently re-tested (identical code path)
Staff internal asset into provider-only thread (no customer party),YES,PROVIDER_INTERNAL_SHARED_INTO_PROVIDER_INTERNAL_THREAD,test_staff_can_first_claim_into_provider_internal_thread
Staff internal asset into customer-visible thread,NO (thread has a customer party -- ambiguity rule applies; internal asset lacking staff-uploader-match is rejected),AMBIGUOUS_CONTEXT_REJECTED,covered by the same mechanism as the unowned-asset test (thread.customer_id is not None gates the rule regardless of the asset's own customer_id)
Staff asset into technician-visible thread,NO (technician-visible = default "thread" visibility = same thread.customer_id gate applies whenever a customer party exists on the thread),AMBIGUOUS_CONTEXT_REJECTED,same mechanism
Customer A asset into Customer B thread,NO -- rejected before the office-ambiguity question is even reached,customer_id mismatch (2F-18B, unchanged),covered by 2F-18B's cross-customer IDOR test suite
Read-only staff first claim,NO -- denied at the ROUTER layer before chat_service is ever reached,require_owner_or_office_staff_mutation's access-scope check (2F-18, unchanged),covered by 2F-18's dependency-semantics test suite
Staff without effective mutation permission first claim,NO -- same router-layer denial,require_owner_or_office_staff_mutation (2F-18, unchanged),same
Tenant owner -- identical rule to staff,confirmed identical treatment,AMBIGUOUS_CONTEXT_REJECTED when not uploader; UPLOADER_SELECTS_AUTHORIZED_THREAD when uploader,test_tenant_owner_same_ambiguity_rule_as_staff
