method,path,endpoint,change,guard_status,evidence
POST,/v1/auth/mfa/confirm,confirm_mfa,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=user.tenant_id | mutation=add
POST,/v1/auth/mfa/disable,disable_mfa,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=user.tenant_id | mutation=add
PUT,/v1/auth/me,update_profile,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=user.tenant_id | mutation=Update 
PUT,/v1/auth/password/change,change_password,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=user.tenant_id | mutation=add
POST,/v1/auth/staff/invite,invite_staff,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=add|flush
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=Update 
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=add|sqlalchemy.update()
POST,/v1/auth/impersonate,impersonate,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=add
POST,/v1/auth/api-keys,create_api_key,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=add|flush
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=delete(
PATCH,/v1/auth/api-keys/{key_id},update_api_key,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=user.tenant_id | mutation=Update 
POST,/v1/auth/change-password-required,change_password_required,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=user.tenant_id | mutation=add
POST,/v1/bookings/{booking_id}/cancel,cancel_booking,ROW_ADDED,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant=self.actor_tenant_id | mutation=add
POST,/v1/bookings/{booking_id}/reschedule/request,request_reschedule,ROW_ADDED,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant=self.actor_tenant_id | mutation=add|flush
POST,/v1/rag/query,query,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=add|flush
POST,/v1/media/upload,upload_media,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=actor.tenant_id | mutation=add|flush
POST,/v1/media/{media_id}/replace,replace_media,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=actor.tenant_id | mutation=add|flush
POST,/v1/me/profile-photo,upload_my_profile_photo,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=actor.tenant_id | mutation=add|flush|raw_sql
PUT,/v1/me/profile,update_my_profile,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=actor.tenant_id|user.tenant_id | mutation=Update 
GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=self.actor_tenant_id | mutation=add|flush
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=self.actor_tenant_id | mutation=add|flush
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,ROW_ADDED,PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant=self.actor_tenant_id | mutation=add|flush
POST,/v1/enterprise/saved-views,create_saved_view,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=add|commit
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=Update 
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=delete(
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=commit
PUT,/v1/enterprise/column-preferences,save_column_preferences,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=add|commit
POST,/v1/enterprise/exports,create_export,ROW_ADDED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id | mutation=add|commit
