route_key,method,path,endpoint,module,router,service,model,permission,guard_after,access_scope_after,principal_tenant_source,object_tenant_source,client_tenant_inputs,direct_service_call_behavior,alternate_routes,external_side_effects,transaction_boundary,audit_behavior,allow_list_file
DELETE /v1/webhooks/endpoints/{endpoint_id},DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,webhook_endpoint_management,app/engines/webhook/router.py,WebhookService,WebhookEndpoint,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,WebhookService.actor_tenant_id (server-derived),WebhookEndpoint.tenant_id (compared via _require_trusted_tenant),tenant_id (Query -- now verified not trusted),fails closed (PERMISSION_DENIED) if actor_tenant_id missing or mismatched,none found (git grep confirmed),none (soft delete only),single UPDATE within request session,no dedicated audit-log row (pre-existing gap unchanged),app/engines/webhook/service.py + router.py
POST /v1/rag/query,POST,/v1/rag/query,query,rag_query,app/engines/rag/router.py,RAGService,KnowledgeBase/RAGQuery,none (mixed persona),require_mutation_access_scope,ENFORCED,RAGService.actor_tenant_id (server-derived),KnowledgeBase.tenant_id (compared via _get_kb_trusted),kb_id (body -- object id only; no client tenant field existed),fails closed if actor_tenant_id missing,none found,YES -- calls embedding/generation backend,single INSERT (RAGQuery trace) within request session,rag.kb_created-style event log exists for other methods; query itself stores a RAGQuery trace row (pre-existing),app/engines/rag/service.py + router.py
POST /v1/security/api-keys/{key_id}/rotate,POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,security,app/engines/security/router.py,SecurityService,APIKey,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,SecurityService.actor_tenant_id (server-derived),APIKey.tenant_id (compared via _require_trusted_tenant),tenant_id (Query -- now verified not trusted),fails closed if actor_tenant_id missing or mismatched,SecurityAdminService wraps SecurityService with super_admin context (verified safe -- not a bypass),none,single transaction (old key marked ROTATED + new key created atomically),existing audit trail preserved (unchanged),app/engines/security/service.py + router.py
POST /v1/security/api-keys/{key_id}/revoke,POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,security,app/engines/security/router.py,SecurityService,APIKey,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,SecurityService.actor_tenant_id (server-derived),APIKey.tenant_id (compared via _require_trusted_tenant),tenant_id (Query -- now verified not trusted),fails closed if actor_tenant_id missing or mismatched,SecurityAdminService (safe, confirmed),Redis cache invalidation (best-effort),single UPDATE within request session,existing audit trail preserved (_write_audit call, unchanged),app/engines/security/service.py + router.py
POST /v1/documents,POST,/v1/documents,generate_doc,documents,app/engines/document/router.py,DocumentService,Document,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,DocumentService.actor_tenant_id (server-derived),n/a (create -- new row),tenant_id (body -- now verified not trusted),fails closed if actor_tenant_id missing or mismatched,field_ops internal caller (fixed this slice -- see internal-caller-preservation.csv),none,single INSERT within request session,not independently re-audited this slice beyond the tenant fix,app/engines/document/service.py + router.py
POST /v1/documents/{document_id}/send,POST,/v1/documents/{document_id}/send,send_for_signature,documents,app/engines/document/router.py,DocumentService,Document,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,DocumentService.actor_tenant_id (server-derived),Document.tenant_id (compared via query predicate),none (object-ID-only route),fails closed if actor_tenant_id missing,none found,generates a signed URL (internal only, no external call),single UPDATE within request session,not independently re-audited this slice,app/engines/document/service.py + router.py
POST /v1/documents/{document_id}/void,POST,/v1/documents/{document_id}/void,void_document,documents,app/engines/document/router.py,DocumentService,Document,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,DocumentService.actor_tenant_id (server-derived),Document.tenant_id (compared via query predicate),none (object-ID-only route),fails closed if actor_tenant_id missing,none found,none,single UPDATE + event write within request session,_write_event(VOIDED) preserved (unchanged),app/engines/document/service.py + router.py
DELETE /v1/rag/knowledge-bases/{kb_id},DELETE,/v1/rag/knowledge-bases/{kb_id},delete_kb,rag,app/engines/rag/router.py,RAGService,KnowledgeBase,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,RAGService.actor_tenant_id (server-derived),KnowledgeBase.tenant_id (via _get_kb_trusted),none (object-ID-only route),fails closed if actor_tenant_id missing,none found,Redis cache-delete (best-effort) + event publish,single UPDATE (soft delete) + chunk deactivation within request session,rag.kb_deleted event published (unchanged),app/engines/rag/service.py + router.py
POST /v1/rag/knowledge-bases/{kb_id}/documents,POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,rag,app/engines/rag/router.py,RAGService,KBDocument,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,RAGService.actor_tenant_id (server-derived),KnowledgeBase.tenant_id (via _get_kb_trusted),none (object-ID-only route),fails closed if actor_tenant_id missing,none found,not independently re-audited this slice (async chunking/embedding pipeline),single INSERT (idempotent on content hash) within request session,not independently re-audited this slice,app/engines/rag/service.py + router.py
DELETE /v1/rag/documents/{doc_id},DELETE,/v1/rag/documents/{doc_id},delete_document,rag,app/engines/rag/router.py,RAGService,KBDocument,P.TENANT_UPDATE,require_tenant_mutation_permission(P.TENANT_UPDATE),ENFORCED,RAGService.actor_tenant_id (server-derived),KBDocument.tenant_id (compared via query predicate),none (object-ID-only route),fails closed if actor_tenant_id missing,none found,not independently re-audited this slice,single UPDATE (chunk deactivation) within request session,not independently re-audited this slice,app/engines/rag/service.py + router.py
