route_function,accepts_media,exposes_media,attachment_authorization_status,persona_status,mutation_scope_status,thread_recipient_participant_assignment_status,privacy_status,alternate_route_status,fully_protected
provider_mark_read,no,no,n/a,VERIFIED,VERIFIED,n/a (recipient-owned),VERIFIED,VERIFIED,YES
provider_mark_all_read,no,no,n/a,VERIFIED,VERIFIED,n/a,VERIFIED,VERIFIED,YES
provider_update_pref,no,no,n/a,VERIFIED,VERIFIED,n/a,VERIFIED,VERIFIED,YES
provider_create_thread,no (create has no media field),no,n/a,VERIFIED,VERIFIED,VERIFIED (2F-18 record-ownership),VERIFIED,VERIFIED,YES
provider_send_message,YES,yes (message response includes media_urls),VERIFIED (this slice -- context+lifecycle+tenant+customer+MediaAccessService),VERIFIED,VERIFIED,VERIFIED (2F-18A),VERIFIED,VERIFIED,YES
provider_mark_thread_read,no,no,n/a,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,YES
staff_mark_read,no,no,n/a,VERIFIED,VERIFIED,n/a,VERIFIED,VERIFIED,YES
staff_mark_all_read,no,no,n/a,VERIFIED,VERIFIED,n/a,VERIFIED,VERIFIED,YES
staff_send_message,schema accepts media_ids but router never forwards it (pre-existing, unchanged),no,FALSE_POSITIVE (non-functional field, not an authorization gap),VERIFIED,VERIFIED,VERIFIED (2F-18A),VERIFIED,VERIFIED,YES
staff_mark_thread_read,no,no,n/a,VERIFIED,VERIFIED,VERIFIED,VERIFIED,VERIFIED,YES

Fully protected: 10 of 10 selected routes.
Selected routes still blocked: 0.
Final protected total: 190 (baseline) + 10 (this module, unchanged from 2F-18/2F-18A) = 200.
Remaining unprotected total: 226 - 200 = 26.
Remaining module queue: unchanged from 2F-18/2F-18A -- see remaining-module-queue-update.csv (copied from 2F-18, not modified this slice).
