from_status,to_status,trigger_route,persona,notes
DRAFT,PENDING_CONFIRMATION,create_booking (implicit),system,initial creation
PENDING_CONFIRMATION,CONFIRMED,confirm_booking,tenant_owner,provider operational acceptance
PENDING_CONFIRMATION,REJECTED,reject_booking,tenant_owner,
PENDING,CONFIRMED,confirm_booking,tenant_owner,legacy status alias
CONFIRMED,SCHEDULED,system/dispatch,system,unaffected by this slice
CONFIRMED,CONVERTED_TO_JOB,convert_to_job,tenant_owner,now requires independent relationship evidence if Booking is provider-created (Slice 2F-15A)
SCHEDULED,DISPATCHING,system/dispatch,system,unaffected by this slice
DISPATCHING,IN_PROGRESS,system/field_ops,system,unaffected by this slice
IN_PROGRESS,COMPLETED,system/field_ops,system,unaffected by this slice
any_non_terminal,CANCELLED,cancel_booking,customer or tenant_owner,DUAL persona (Slice 2F-15A closes access-scope gap)
any_non_terminal,VOIDED,void_booking,super_admin,PLATFORM_ADMIN_ONLY unchanged
PENDING_CONFIRMATION or CONFIRMED,reschedule_pending (BookingReschedule row),request_reschedule,customer or tenant_owner,DUAL persona (Slice 2F-15A closes access-scope gap)
reschedule_pending,scheduled_at updated,accept_reschedule,tenant_owner,TENANT_ONLY (Slice 2F-15A closes access-scope gap)
reschedule_pending,reschedule discarded,reject_reschedule,tenant_owner,TENANT_ONLY (Slice 2F-15A closes access-scope gap)
