area,page_count,nav_group_today,classification,notes
account,3,core,KEEP_AND_REDESIGN,Admin account settings; low risk
ai-chat,5,operations,KEEP_AND_REDESIGN,AI chat tooling for internal ops
ai,4,operations,KEEP_AND_REDESIGN,AI configuration surface
analytics,10,reports,KEEP_AND_REDESIGN,Large surface; candidate for dashboard widget consolidation
audit-logs,1,audit,KEEP_AND_REDESIGN,Maps to UX-02 Audit Explorer pattern
automation,3,operations,KEEP_AND_REDESIGN,Workflow automation config
bookability,1,operations,KEEP_AND_REDESIGN,Provider bookability review
bookings,2,operations,KEEP_AND_REDESIGN,Cross-vertical bookings list/detail
brand-requests,1,catalog,MERGE,Overlaps with brands; candidate merge target
brands,1,catalog,MERGE,Overlaps with brand-requests and service-setup/brands
catalog-module,1,catalog,MERGE,Possible duplicate of catalog
catalog,2,catalog,KEEP_AND_REDESIGN,Primary service catalog
categories,2,catalog,KEEP_AND_REDESIGN,Category admin
chat,1,support,KEEP_AND_REDESIGN,Admin-facing chat/support tooling
checklist-templates,1,catalog,MERGE,Overlaps with checklists
checklists,1,catalog,MERGE,Overlaps with checklist-templates
coaching,1,home-services-adjacent,KEEP_AND_REDESIGN,Coaching vertical operations
commission-records,1,finance,KEEP_AND_REDESIGN,Finance presentation candidate
complaint-policies,1,trust,KEEP_AND_REDESIGN,Policy configuration
complaints,2,trust,KEEP_AND_REDESIGN,Complaint list/detail
compliance,1,trust,KEEP_AND_REDESIGN,Maps directly to UX-02 Compliance pattern
customer-flow,3,catalog,KEEP_AND_REDESIGN,Customer journey configuration
customers,2,core,KEEP_AND_REDESIGN,Customer admin list/detail
dashboard,1,core,KEEP_AND_REDESIGN,Target for role-sensitive dashboard composition
engines,3,platform,DEVELOPMENT_ONLY,Internal engine diagnostics, likely dev-only
exports,1,platform,KEEP_AND_REDESIGN,Export job management
finance,15,finance,SPLIT,Largest surface; split into Finance Summary + sub-pages per UX-02 IA
financial-events,1,finance,MERGE,Overlaps with finance/financial-events
home-services,12,catalog,KEEP_AND_REDESIGN,Home-services vertical config, large surface
intelligence,2,reports,MERGE,Overlaps with analytics
issue-types,1,catalog,KEEP_AND_REDESIGN,Catalog taxonomy
location-mapping,1,operations,KEEP_AND_REDESIGN,Serviceability/geo config
marketing,10,platform,PRODUCT_DECISION_REQUIRED,Prior L5-44 audit found genuine gaps here (see memory)
master-services,1,catalog,MERGE,Overlaps with catalog/service-setup
media,1,platform,KEEP_AND_REDESIGN,Media asset admin
notification-outbox,1,audit,KEEP_AND_REDESIGN,Ops visibility into notification dispatch (see L5-50 fix)
notification-templates,1,platform,KEEP_AND_REDESIGN,Template config
notifications,3,platform,KEEP_AND_REDESIGN,Admin-facing notification management
onboarding,1,tenants,KEEP_AND_REDESIGN,Maps to UX-02 Verification Review workspace
operations,2,operations,KEEP_AND_REDESIGN,General operations dashboard
packages,1,commerce,KEEP_AND_REDESIGN,Package/plan admin
payments,1,finance,API_CONTRACT_REQUIRED,Verify canonical-rule compliance (no payout UI)
pricing-rules,1,catalog,MERGE,Overlaps with pricing
pricing-tiers,1,catalog,MERGE,Overlaps with pricing
pricing,5,catalog,KEEP_AND_REDESIGN,Primary pricing surface
profile,1,core,KEEP_AND_REDESIGN,Admin user profile
provider-wallets,1,finance,PRODUCT_DECISION_REQUIRED,Name implies payout concept; needs canonical-rule review
rating-summaries,1,trust,MERGE,Overlaps with reviews
real-estate,1,home-services-adjacent,KEEP_AND_REDESIGN,Real-estate vertical operations
refund-requests,1,support,KEEP_AND_REDESIGN,Production-ready per recent complaint-engine work
reports,1,reports,MERGE,Overlaps with analytics/intelligence
review-flags,1,trust,MERGE,Overlaps with reviews
review-policies,1,trust,MERGE,Overlaps with reviews
review-replies,1,trust,MERGE,Overlaps with reviews
reviews,1,trust,KEEP_AND_REDESIGN,Primary reviews surface; several satellite pages to merge into it
rework-requests,1,support,KEEP_AND_REDESIGN,Complaint rework flow
security,2,security,KEEP_AND_REDESIGN,Maps to UX-02 Security Observations pattern
service-groups,1,catalog,MERGE,Overlaps with catalog taxonomy
service-invoices,1,finance,KEEP_AND_REDESIGN,Invoice presentation
service-options,2,catalog,KEEP_AND_REDESIGN,Catalog options admin
service-setup,14,catalog,SPLIT,Large surface; needs IA split similar to finance
settings,1,platform,PRODUCT_DECISION_REQUIRED,Target for UX-02 Platform Configuration pattern
staff,2,core,KEEP_AND_REDESIGN,Platform-level staff admin (distinct from tenant staff)
tenants,3,tenants,KEEP_AND_REDESIGN,Primary target for UX-02 Tenant List + Tenant 360
trust-quality,1,trust,KEEP_AND_REDESIGN,Built in MODULE-L5-12; already production-oriented
types-brands,1,catalog,MERGE,Overlaps with brands
users,4,core,KEEP_AND_REDESIGN,Platform admin user management
verticals,1,catalog,KEEP_AND_REDESIGN,Vertical configuration
workflow-templates,1,operations,MERGE,Overlaps with workflows
workflows,2,operations,KEEP_AND_REDESIGN,Primary workflow surface
