required_filename,actual_filename,status,consolidated_into,reason,evidence_source
implementation-summary.md,implementation-summary.md,PRESENT,,,this slice
branch-worktree-baseline.md,branch-worktree-baseline.md,PRESENT,,,this slice
baseline-freeze.md,baseline-freeze.md,PRESENT,,,this slice
worktree-interference-guard.md,worktree-interference-guard.md,PRESENT,,,this slice
route-enumeration-method.md,route-enumeration-method.md,PRESENT,,,this slice
mounted-route-census.csv,mounted-route-census.csv,PRESENT,,"summary only, not the final per-route census -- see file header",this slice
prior-vs-current-route-diff.csv,route-denominator-reconciliation.md,CONSOLIDATED,route-denominator-reconciliation.md,"before/after arithmetic covers the same content as a table rather than a separate CSV, given the small number of rows",this slice
unresolved-route-reproduction.md,unresolved-route-reproduction.md,PRESENT,,,this slice
unresolved-route-before-after.csv,route-denominator-reconciliation.md,CONSOLIDATED,route-denominator-reconciliation.md,same as above,this slice
route-classification-contract.md,route-classification-contract.md,PRESENT,,,this slice
final-route-classification.csv,final-route-classification.csv,PRESENT,,"32 of 261 originally-unresolved rows -- see known-limitations.md",this slice
confirmed-mutation-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"canonical/customer/admin/internal/public mutation rows are all in one classification table given only one module was fully classified this slice",this slice
confirmed-read-only-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no read-only route was found among auth.router's 32 classified entries (all were mutation-capable by the auto-classifier's own pre-filter) -- will apply once a module containing read-only routes is classified",n/a
canonical-mutation-additions.csv,canonical-mutation-additions.csv,PRESENT,,,this slice
customer-self-service-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"13 self-service rows are in the one classification table",this slice
platform-admin-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"2 platform-admin rows are in the one classification table",this slice
internal-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no PLATFORM_INTERNAL_MUTATION route was found in auth.router this slice",n/a
callback-webhook-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"9 public/callback rows are in the one classification table",this slice
duplicate-alias-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no DUPLICATE_OR_ALIAS route was found in auth.router this slice",n/a
deprecated-mounted-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no DEPRECATED_BUT_MOUNTED route was found in auth.router this slice",n/a
framework-generated-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no FRAMEWORK_GENERATED_NON_BUSINESS route was found in auth.router this slice",n/a
product-policy-blocked-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no PRODUCT_POLICY_BLOCKED route was found in auth.router this slice",n/a
service-layer-bypass-audit.csv,service-layer-bypass-audit.csv,PRESENT,,"3/8 fully checked, 5 UNVERIFIED on this dimension -- see known-limitations.md",this slice
authorization-remediation-report.md,final-status-rationale.md,CONSOLIDATED,final-status-rationale.md,"the remediation narrative (8 additions, notification fix) is folded into the status rationale rather than duplicated in a separate report",this slice
notification-chat-access-investigation.md,notification-chat-access-investigation.md,PRESENT,,,this slice
notification-failure-disposition.csv,notification-failure-disposition.csv,PRESENT,,,this slice
route-denominator-reconciliation.md,route-denominator-reconciliation.md,PRESENT,,,this slice
route-category-arithmetic.csv,route-denominator-reconciliation.md,CONSOLIDATED,route-denominator-reconciliation.md,"category arithmetic is a small table, folded into the reconciliation doc",this slice
canonical-coverage-reconciliation.md,canonical-coverage-reconciliation.md,PRESENT,,,this slice
targeted-test-report.md,targeted-test-report.md,PRESENT,,,this slice
phase2f-regression-report.md,phase2f-regression-report.md,PRESENT,,,this slice
full-backend-regression-diff.md,full-backend-regression-diff.md,PRESENT,,,this slice
test-node-diff.csv,test-node-diff.csv,PRESENT,,,this slice
verifier-spec.md,verifier-spec.md,PRESENT,,,this slice
verifier-report.md,verifier-report.md,PRESENT,,,this slice
verifier-negative-fixture-report.md,verifier-negative-fixture-report.md,PRESENT,,,this slice
backend-file-change-report.md,backend-file-change-report.md,PRESENT,,,this slice
frontend-non-change-report.md,frontend-non-change-report.md,PRESENT,,,this slice
known-limitations.md,known-limitations.md,PRESENT,,,this slice
deferred-items.md,deferred-items.md,PRESENT,,,this slice
final-status-rationale.md,final-status-rationale.md,PRESENT,,,this slice
approval-gate.md,approval-gate.md,PRESENT,,,this slice
artifact-manifest.csv,artifact-manifest.csv,PRESENT,,,this slice
