field,manual_provider_job,booking_referenced_job,parent_derived_repair
tenant_id,server_derived (pinned to actor_tenant_id),server_derived (pinned),server_derived (pinned)
customer_id,client_selected (existing customer account required),cross_checked (must match booking.customer_id if supplied; otherwise not derived),cross_checked (must match parent.customer_id if supplied; otherwise not derived)
service_type_id,client_selected (tenant + active validated),cross_checked (must match booking.service_type_id if supplied),client_selected (NOT cross-checked against parent -- may legitimately differ)
booking_id,forbidden (n/a to this mode),client_selected + tenant/status/duplicate validated,forbidden (mutually exclusive with parent_job_id, fixed this slice)
parent_job_id,forbidden (n/a to this mode),forbidden (mutually exclusive with booking_id, fixed this slice),client_selected + tenant/customer/status(consultation-repair only)/duplicate validated
job_type,client_selected (defaults REPAIR; auto-detected from catalog if omitted),client_selected (not derived from booking),client_selected (typically REPAIR; not derived from parent)
initial_status,server_derived (always JS.DRAFT),server_derived (always JS.DRAFT),server_derived (always JS.DRAFT)
checklist_template,server_derived (from validated service_type_id's catalog entry, if client omitted one),server_derived (same mechanism),server_derived (same mechanism)
assignment,ignored (create_job never creates one),ignored,ignored
address,client_selected (free-form dict),client_selected (NOT derived from booking.address -- remains independently client-supplied),client_selected
audit_source,server_derived (actor_id/actor_role, never client-supplied),server_derived,server_derived
