dimension,status,evidence
1_mounted_route_census_completeness,INCOMPLETE,"route-census-reproduction.md (261/2320 still unclassified, unchanged from 2F-38)"
2_canonical_tenant_provider_mutation_protection,READY,"verify_2f37.py 21/21 PASS, re-confirmed start and end of this slice"
3_customer_self_service_protection,INCOMPLETE,"inherited from 2F-38, not re-audited this slice"
4_platform_admin_protection,INCOMPLETE,"inherited from 2F-38, not re-audited this slice"
5_internal_callback_protection,INCOMPLETE,"inherited from 2F-38, not re-audited this slice"
6_role_source_integrity,READY,"canonical-role-validation-contract.md -- exactly 10 roles executable, no live alias path"
7_seed_path_integrity,READY,"seed-path-census.csv -- 2 live gaps found and fixed, 8 other paths audited and confirmed safe"
8_demo_account_role_policy,HUMAN_DECISION_REQUIRED,"demo-account-decision-packet.md -- unchanged, no new evidence"
9_persisted_role_data_integrity,INCOMPLETE,"no live database reachable to scan beyond the 2 known accounts"
10_migration_144_static_readiness,READY,migration-144-static-reaudit.md
11_migration_144_postgresql_runtime_evidence,ENVIRONMENT_BLOCKED,postgres-environment-evidence.md
12_phase2f_regression,READY,"2473/2473 passed twice (2445 baseline + 28 new tests)"
13_complete_backend_regression,"see complete-backend-regression-report.md","run this slice -- see that report for final count"
14_known_domain_limitations,READY_WITH_KNOWN_NON_AUTH_LIMITATION,"N01/payments/read-path gaps unchanged, honestly disclosed"
15_final_recertification_readiness,NOT_ISSUED,"this slice does not certify application-wide authorization -- explicitly out of scope"
