artifact,type,path
Implementation summary,doc,docs/design/ux-02-super-admin/implementation-summary.md
Execution mode,doc,docs/design/ux-02-super-admin/execution-mode.md
UX-01 source baseline,doc,docs/design/ux-02-super-admin/ux01-source-baseline.md
UX-01 compatibility report,doc,docs/design/ux-02-super-admin/ux01-source-compatibility-report.md
UX-01 unverified gates,doc,docs/design/ux-02-super-admin/ux01-unverified-gates.md
Existing route audit,csv,docs/design/ux-02-super-admin/existing-super-admin-route-audit.csv
Duplication map,csv,docs/design/ux-02-super-admin/super-admin-duplication-map.csv
Existing design debt,doc,docs/design/ux-02-super-admin/existing-super-admin-design-debt.md
Information architecture,doc,docs/design/ux-02-super-admin/super-admin-information-architecture.md
Navigation map,csv,docs/design/ux-02-super-admin/super-admin-navigation-map.csv
Canonical role presentation,doc,docs/design/ux-02-super-admin/canonical-admin-role-presentation.md
Readiness state registry,csv,docs/design/ux-02-super-admin/readiness-state-registry.csv
Dashboard specification,doc,docs/design/ux-02-super-admin/super-admin-dashboard-specification.md
Dashboard widget inventory,csv,docs/design/ux-02-super-admin/dashboard-widget-inventory.csv
Global search spec,doc,docs/design/ux-02-super-admin/global-search-command-specification.md
Tenant list spec,doc,docs/design/ux-02-super-admin/tenant-list-specification.md
Tenant 360 spec,doc,docs/design/ux-02-super-admin/tenant-360-specification.md
Verification review workspace,doc,docs/design/ux-02-super-admin/verification-review-workspace.md
Enterprise list pattern,doc,docs/design/ux-02-super-admin/enterprise-list-page-pattern.md
Enterprise detail pattern,doc,docs/design/ux-02-super-admin/enterprise-detail-page-pattern.md
Review approval pattern,doc,docs/design/ux-02-super-admin/review-approval-pattern.md
Filter saved-view system,doc,docs/design/ux-02-super-admin/filter-saved-view-system.md
Bulk action pattern,doc,docs/design/ux-02-super-admin/bulk-action-pattern.md
Finance presentation pattern,doc,docs/design/ux-02-super-admin/finance-presentation-pattern.md
Security operations pattern,doc,docs/design/ux-02-super-admin/security-operations-pattern.md
Compliance/audit pattern,doc,docs/design/ux-02-super-admin/compliance-audit-pattern.md
Platform configuration pattern,doc,docs/design/ux-02-super-admin/platform-configuration-pattern.md
Responsive behavior,doc,docs/design/ux-02-super-admin/responsive-super-admin-behavior.md
Accessibility report,doc,docs/design/ux-02-super-admin/super-admin-accessibility-report.md
Localization readiness,doc,docs/design/ux-02-super-admin/localization-readiness-report.md
Typed fixture contract,doc,docs/design/ux-02-super-admin/typed-fixture-contract.md
Frontend adapter contract,doc,docs/design/ux-02-super-admin/frontend-adapter-contract.md
Showcase inventory,csv,docs/design/ux-02-super-admin/super-admin-showcase-inventory.csv
File allow-list,doc,docs/design/ux-02-super-admin/frontend-file-allow-list.md
Changed file report,doc,docs/design/ux-02-super-admin/changed-file-report.md
Backend non-change report,doc,docs/design/ux-02-super-admin/backend-non-change-report.md
Test plan,doc,docs/design/ux-02-super-admin/frontend-test-plan.md
Test report,doc,docs/design/ux-02-super-admin/frontend-test-report.md
Build command manifest,doc,docs/design/ux-02-super-admin/build-command-manifest.md
Build report,doc,docs/design/ux-02-super-admin/build-report.md
Environment blocker report,doc,docs/design/ux-02-super-admin/environment-blocker-report.md
Backend contract dependencies,doc,docs/design/ux-02-super-admin/backend-contract-dependencies.md
Product decisions required,doc,docs/design/ux-02-super-admin/product-decisions-required.md
Known limitations,doc,docs/design/ux-02-super-admin/known-limitations.md
Deferred items,doc,docs/design/ux-02-super-admin/deferred-items.md
Design governance rules,doc,docs/design/ux-02-super-admin/design-governance-rules.md
Documentation corrections,doc,docs/design/ux-02-super-admin/documentation-corrections.md
Approval gate,doc,docs/design/ux-02-super-admin/approval-gate.md
lib/ux02 types,source,frontend/super-admin/lib/ux02/types.ts
lib/ux02 fixtures,source,frontend/super-admin/lib/ux02/fixtures.ts
lib/ux02 nav IA,source,frontend/super-admin/lib/ux02/nav-ia.ts
ReadinessTag widget,source,frontend/super-admin/components/ux02/widgets/ReadinessTag.tsx
RoleDashboard widget,source,frontend/super-admin/components/ux02/widgets/RoleDashboard.tsx
EnterpriseListPage pattern,source,frontend/super-admin/components/ux02/patterns/EnterpriseListPage.tsx
EnterpriseDetailPage pattern,source,frontend/super-admin/components/ux02/patterns/EnterpriseDetailPage.tsx
ReviewApprovalWorkspace pattern,source,frontend/super-admin/components/ux02/patterns/ReviewApprovalWorkspace.tsx
Dev showcase routes,source,frontend/super-admin/app/dev/ux-02
Nav/role/dashboard tests,test,frontend/super-admin/__tests__/ux02/nav-ia.test.ts
Fixture tests,test,frontend/super-admin/__tests__/ux02/fixtures.test.ts
List-page tests,test,frontend/super-admin/__tests__/ux02/enterprise-list-page.test.tsx
Pattern tests,test,frontend/super-admin/__tests__/ux02/patterns.test.tsx
