service,method,trusted_context_required,missing_context_behavior,mismatched_context_behavior,client_dto_trust,internal_callers_enumerated,internal_callers_updated,exception_swallowed,transaction_preserved
WebhookService,delete_endpoint,YES (actor_tenant_id),PERMISSION_DENIED (fail closed),PERMISSION_DENIED,NONE (client tenant_id verified, not trusted),YES -- git grep found zero other call sites,n/a (none needed),NO -- ServiceOSException from _require_trusted_tenant is not inside any try/except in delete_endpoint,YES -- single UPDATE, unchanged
RAGService,query,YES (actor_tenant_id),PERMISSION_DENIED (fail closed),PERMISSION_DENIED,NONE,YES -- git grep found zero other call sites,n/a,NO,YES -- unchanged
RAGService,delete_kb,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
RAGService,ingest_document,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
RAGService,delete_document,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
RAGService,reindex_document,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
SecurityService,rotate_api_key,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- SecurityAdminService is the only other caller, confirmed always super_admin-gated (bypasses cleanly),NO CHANGE NEEDED (already safe),NO,YES -- unchanged (atomic old-key-rotate + new-key-create)
SecurityService,revoke_api_key,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- same SecurityAdminService caller, confirmed safe,NO CHANGE NEEDED,NO,YES -- unchanged
DocumentService,generate_document,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- field_ops/service.py invoice-generation call site found,YES -- updated this slice to pass actor_tenant_id=job.tenant_id explicitly,NO (field_ops wraps the call in try/except Exception, but that predates this slice and is a general-purpose safety net, not something that hides this specific check from the caller's control flow -- documented as a known limitation),YES -- unchanged
DocumentService,send_for_signature,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
DocumentService,void_document,YES (actor_tenant_id),PERMISSION_DENIED,PERMISSION_DENIED,NONE,YES -- zero other call sites,n/a,NO,YES -- unchanged
