capability,initiator,permitted_recipients,canonical_persona,required_dependency,tenant_ownership,object_ownership,customer_relationship_requirement,external_delivery_effect,privacy_classification
in_app_notification_read,provider/staff,self only,TENANT_OWNER_NOTIFICATION_ADMIN / ASSIGNED_STAFF_CONVERSATION_OPERATION,require_owner_or_office_staff_mutation / require_staff_or_technician_only,n/a (user-scoped not tenant-scoped read),user_id == caller (service-layer),none,none,CUSTOMER_VISIBLE_RECORD (own notifications only)
in_app_notification_mark_read,provider/staff,self only,as above,as above,n/a,user_id == caller (service raises IN_APP_NOTIFICATION_NOT_FOUND on mismatch),none,none,as above
notification_preference_read_update,provider/staff,self only,TENANT_OWNER_NOTIFICATION_ADMIN,require_owner_or_office_staff_mutation,tenant_id derived from JWT not body,user_id == caller,none,none,TENANT_INTERNAL
conversation_list,provider/staff,tenant-wide (by design, not participant-limited),TENANT_STAFF_NOTIFICATION_OPERATION,require_owner_or_office_staff_mutation / require_staff_or_technician_only,tenant_id == caller tenant,n/a (list),none,none,PROVIDER_INTERNAL_RECORD
conversation_create,provider/staff,linked-record's tenant/customer only (enforced this slice),TENANT_TO_CUSTOMER_COMMUNICATION,require_owner_or_office_staff_mutation,tenant_id == resolved record tenant (enforced this slice),record must exist for resolvable types (enforced this slice),record's customer_id (implicit),none,CUSTOMER_VISIBLE_RECORD
message_send,provider/staff/customer,thread participants (implicit via thread),TENANT_TO_CUSTOMER_COMMUNICATION / ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,require_owner_or_office_staff_mutation / require_staff_or_technician_only / require_customer,thread.tenant_id == caller tenant (or customer ownership),thread must be open (not terminal),thread.customer_id (customer callers),writes 1 InAppNotification row per other active participant (synchronous, same transaction),visibility-gated (this slice)
message_read,provider/staff/customer,thread participants,as above,as above,as above,as above,as above,none,visibility-gated
message_mark_read,provider/staff/customer,self only (read receipt),as above,as above,as above,as above,as above,none,AUDIT_INTERNAL
audit_log_read,provider,tenant-scoped,TENANT_OWNER_NOTIFICATION_ADMIN,require_owner_or_office_staff_mutation,tenant_id == caller tenant (actor_type hardcoded "provider" server-side),n/a (read),none,none,AUDIT_INTERNAL
bulk_broadcast,n/a — NOT PRESENT in this router,n/a,FALSE_POSITIVE_NON_MUTATION,n/a,n/a,n/a,n/a,n/a,n/a
