method,path,endpoint,canonical_guard,final_persona,final_disposition,basis,evidence_source,admitted_roles,actor_derivation,tenant_derivation,role_branching,db_writes,external_effects,auth_dependencies
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,TENANT_MUTATION_ROLE_SCOPE_AWARE,PLATFORM_INTERNAL_MUTATION,CANONICAL_PERSONA_CORRECTED,mutates an object owned by the authenticated principal itself,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,require_owner_or_office_staff_mutation|get_current_user
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,TENANT_MUTATION_ROLE_SCOPE_AWARE,PLATFORM_INTERNAL_MUTATION,CANONICAL_PERSONA_CORRECTED,mutates an object owned by the authenticated principal itself,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,no,commit,,require_owner_or_office_staff_mutation|get_current_user
POST,/v1/provider/onboarding/refresh,refresh_onboarding,TENANT_MUTATION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,super_admin|tenant_owner,no,,no,,,require_tenant_owner_mutation|require_tenant_owner|get_current_user
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,staff|super_admin|technician|tenant_owner,no,,no,,,require_technician|get_current_user
POST,/v1/provider/team-members/{member_id}/create-login,create_member_login,TENANT_MUTATION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,super_admin|tenant_owner,no,,no,,,require_tenant_owner_mutation|require_tenant_owner|get_current_user
PUT,/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},my_job_checklist_item,STAFF_EXECUTION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,staff|technician,no,,no,,,require_staff_or_technician_only|get_current_user
DELETE,/v1/tenant/checklist-templates/{template_id},delete_template,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,self.actor_tenant_id,no,,,require_tenant_mutation_field_ops_checklist_manage|get_current_user|require_field_ops_checklist_manage|get_current_user
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},update_item,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_tenant_mutation_field_ops_checklist_manage|get_current_user|require_field_ops_checklist_manage|get_current_user
DELETE,/v1/tenant/checklist-templates/{template_id}/items/{item_id},delete_item,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,READ_ONLY_FALSE_POSITIVE,CANONICAL_PERSONA_CORRECTED,no persistent or external effect,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,,require_tenant_mutation_field_ops_checklist_manage|get_current_user|require_field_ops_checklist_manage|get_current_user
POST,/v1/tenant/service-areas/validate,validate_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,self.actor_tenant_id|u.tenant_id,no,,,require_tenant_mutation_tenant_service_area_create|get_current_user|get_current_user
