module,route_count,route_keys,routers_services_models,inspection_states,assigned_slice
webhook_endpoint_management,1,DELETE /v1/webhooks/endpoints/{endpoint_id},app/engines/webhook/router.py + WebhookService,CONFIRMED_CROSS_TENANT_GAP,2F-35
rag_query,1,POST /v1/rag/query,app/engines/rag/router.py + RAGService,CONFIRMED_CROSS_TENANT_GAP,2F-35
enterprise_grid_saved_views,4,"POST /v1/enterprise/saved-views; PUT /v1/enterprise/saved-views/{view_id}; DELETE /v1/enterprise/saved-views/{view_id}; POST /v1/enterprise/saved-views/{view_id}/set-default",app/engines/enterprise_grid/router.py + SavedViewService,CONFIRMED_ACCESS_SCOPE_GAP (3) + CONFIRMED_OBJECT_OWNERSHIP_PRESENT (2),2F-36
enterprise_grid_preferences_exports,2,"PUT /v1/enterprise/column-preferences; POST /v1/enterprise/exports",app/engines/enterprise_grid/router.py + ColumnPreferenceService/ExportService,CONFIRMED_SELF_SERVICE (1) + CONFIRMED_ACCESS_SCOPE_GAP (1),2F-36
admin_catalog_provider_setup,4,"POST /v1/provider/brands/requests; POST /v1/provider/brands/services/{service_id}/supported; POST /v1/provider/setup/recommendations; POST /v1/provider/setup/services/{service_id}/supported-options",admin_catalog engine (3 router files) + BrandService/RecommendationEngineService/ServiceOptionService,CONFIRMED_ACCESS_SCOPE_GAP (4),2F-36
profile_technician_self_service,3,"PUT /v1/provider/business-profile; POST /v1/provider/business-profile/submit-review; PUT /v1/staff/profile",app/engines/profile/router.py + ProfileService,CONFIRMED_SELF_SERVICE (3),2F-36
profile_universal_self_service,1,PUT /v1/me/profile,app/engines/profile/router.py + ProfileService,CONFIRMED_SELF_SERVICE (1),2F-36
marketing_automation_provider,3,"PUT /v1/provider/marketing/assets/{asset_id}/provider-notes; POST /v1/provider/marketing/campaigns/generate-launch; POST /v1/provider/marketing/campaigns/{campaign_id}/submit-review",app/engines/marketing_automation/provider_router.py,CONFIRMED_ACCESS_SCOPE_GAP (3),2F-36
analytics_provider_reports,1,POST /v1/provider/reports/run,app/engines/analytics/provider_router.py,CONFIRMED_ACCESS_SCOPE_GAP (1),2F-36
platform_commerce_deposit,3,"GET /v1/commerce/tenants/{tenant_id}/deposit; POST /v1/commerce/tenants/{tenant_id}/deposit/initiate; GET /v1/commerce/tenants/{tenant_id}/deposit/transactions",app/engines/platform_commerce/router.py + CommerceService,CONFIRMED_ACCESS_SCOPE_GAP (3),2F-37
