method,path,module,current_status,reason,still_outside_coverage_and_matrix
POST,/v1/serviceability/check,serviceability,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/compliance/deletion-requests,compliance,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/compliance/portability-requests,compliance,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/security/api-keys/{key_id}/rotate,security,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/security/api-keys/{key_id}/revoke,security,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/chat/conversations/{conversation_id}/messages,chat,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/payments/tenants/{tenant_id}/payout,payments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/inventory/reservations,inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/inventory/reservations/confirm,inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/inventory/reservations/release,inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,subscriptions,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/documents,documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/documents/{document_id}/send,documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/documents/{document_id}/void,documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/bookings,bookings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/appointments/{appointment_id}/confirm,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/appointments/{appointment_id}/cancel,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/appointments/{appointment_id}/reschedule,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/appointments/{appointment_id}/no-show,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/catalog,catalog,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/catalog/{item_id},catalog,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/geo/tenants/{tenant_id}/zones,geo,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,geo,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
