node_id,module,error_summary,deterministic_or_intermittent,passes_in_isolation,order_dependent,related_to_seed_role_defect,related_to_authorization,disposition,required_action
tests/test_phase2d_tenant_access_model.py::TestSeedScriptCanonicalGuard::test_get_or_create_user_rejects_invalid_role_before_any_db_call[*],test_phase2d,role validation missing before db call,deterministic,yes (was failing deterministically),no,yes,yes,FIXED_IN_2F39,none -- fixed via canonical_seed_final_l5_01.py guard
tests/test_phase2d_tenant_access_model.py::TestSeedScriptCanonicalGuard::test_canonical_roles_matches_the_10_role_registry,test_phase2d,missing CANONICAL_ROLES attribute,deterministic,yes,no,yes,yes,FIXED_IN_2F39,none -- added CANONICAL_ROLES to seed script
tests/test_phase2d_tenant_access_model.py::TestTenantMutationPermissionCoverage::test_coverage_of_require_tenant_mutation_permission_is_still_narrow,test_phase2d,frozen count (5) never updated after 2F-35/36/37 expanded usage to 26,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none -- PROTECTED_BY_LATER_SLICE update to 26
tests/test_phase2f35_critical_authorization_batch.py::TestDocumentTenantAuthority::test_generate_document_calls_trusted_tenant,test_phase2f35,DocumentService.generate_document permanently monkeypatched by an earlier test,intermittent (order-dependent only),yes,YES -- root cause,no (the polluting test is unrelated),TEST_DEFECT_FIXED,none -- fixed test_dispatch_job_sync.py's teardown
tests/test_dispatch_job_sync.py::test_dispatch_manual_mode_sets_job_assigned_staff_id_and_advances_status,test_dispatch_job_sync,missing actor_tenant_id (2F-36 guard) + missing _get_job mock (newer ownership pre-check),deterministic,yes,no,no,yes,FIXED_IN_2F39,none -- fixture updated
tests/test_dispatch_job_sync.py::test_reassign_job_updates_job_assigned_staff_id,test_dispatch_job_sync,missing actor_tenant_id (2F-36 guard),deterministic,yes,no,no,yes,FIXED_IN_2F39,none -- fixture updated
tests/test_p0_job_completion_credit_deduction.py::test_staff_router_accepts_real_technician_role,test_p0_job_completion,stale exact-string assertion after require_staff_or_technician_only refactor,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none -- assertion updated
tests/test_p0_job_completion_credit_deduction.py::test_field_ops_router_accepts_real_technician_role,test_p0_job_completion,same as above,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none
tests/test_module_l5_19_staff_chat.py::TestStaffChatSource::test_staff_chat_router_exists_and_is_tenant_scoped,test_module_l5_19,stale exact-string assertion after _staff_actor_type helper introduced,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none -- assertion updated
tests/test_phase7_staff_app_certification.py::test_staff_jobs_router_scopes_to_staff_and_technician_roles_only,test_phase7,same require_staff_or_technician_only staleness,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none
tests/test_customer_idor.py::test_create_review_router_ignores_spoofed_customer_id,test_customer_idor,legacy review-creation endpoint retired to HTTP 410; test predates retirement,deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none -- rewritten to assert the 410 retirement
tests/test_final_l5_05t_service_area_route_canonicalization.py::TestGlobalDuplicateRouteDetector::test_pre_existing_allowlist_still_matches_reality_exactly,test_final_l5_05t,2 allowlisted route pairs no longer exist at all (fully removed not merely de-duplicated),deterministic,yes,no,no,yes,TEST_DEFECT_FIXED,none -- allowlist shrunk
tests/test_checklist_system.py::* (4 tests),test_checklist_system,not individually root-caused this slice,deterministic (reproduces in isolation per spot-check pattern),not individually re-verified,no,no,PRE_EXISTING_VERIFIED_NON_AUTHORIZATION,DEFERRED_WITH_EXPLICIT_OWNER -- checklist/catalog domain team
tests/test_customer_frontend_02_hardening.py::test_typescript_compiles_cleanly,test_customer_frontend,TypeScript compile check (frontend build environment),deterministic,not re-verified,no,no,ENVIRONMENT_REQUIRED,frontend build tooling -- out of this slice's scope
tests/test_job_type_flows.py::test_consultation_quote_approval_spawns_repair_job_with_inherited_data,test_job_type_flows,mocked db.execute side_effect list exhausted -- create_job now calls ServiceCatalogService internally (newer dependency),deterministic,yes (reproduces),no,no,DOMAIN_REMEDIATION_REQUIRED,fixture needs an additional mocked call for the service-catalog lookup -- domain-owner review recommended before mechanically patching business-logic test
tests/test_p0_engine_management_enterprise.py::TestFrontendPages::test_no_typescript_errors,test_p0_engine_management,TypeScript compile check,deterministic,not re-verified,no,no,ENVIRONMENT_REQUIRED,frontend build tooling -- out of scope
tests/test_service_catalog.py::* (8 tests),test_service_catalog,FieldJob/service-catalog domain assertions unrelated to auth,deterministic,yes (confirmed via isolated re-run this slice),no,no,PRE_EXISTING_VERIFIED_NON_AUTHORIZATION,DEFERRED_WITH_EXPLICIT_OWNER -- service-catalog domain team
tests/test_sprint22_quote_checklist.py::TestChecklists::test_create_checklist_no_template,test_sprint22,not individually root-caused,deterministic,not re-verified,no,no,PRE_EXISTING_VERIFIED_NON_AUTHORIZATION,DEFERRED_WITH_EXPLICIT_OWNER
tests/test_sprint24_customer_reviews.py::TestSprint24ReviewService::test_submit_reply_success,test_sprint24,not individually root-caused,deterministic,not re-verified,no,no,PRE_EXISTING_VERIFIED_NON_AUTHORIZATION,DEFERRED_WITH_EXPLICIT_OWNER
tests/test_sprint24_customer_reviews.py::TestSprint24ReviewService::test_flag_review_not_found,test_sprint24,not individually root-caused,deterministic,not re-verified,no,no,PRE_EXISTING_VERIFIED_NON_AUTHORIZATION,DEFERRED_WITH_EXPLICIT_OWNER
tests/test_sprint25_complaints.py::test_create_complaint_success,test_sprint25,ComplaintEligibilityService.check_eligible mock returns None (newer shared-eligibility-contract dependency added by Slice 2F-10A),deterministic,yes (confirmed),no,no,DOMAIN_REMEDIATION_REQUIRED,fixture needs updating for the Slice 2F-10A shared eligibility contract -- domain-owner review recommended
