module,router,route_count,route_list,protected_routes,unprotected_routes,primary_authorization_gap,primary_ownership_gap,integrity_risk,privacy_risk,financial_risk,destructive_risk,bulk_risk,alternate_route_risk,existing_tests,verifier_readiness,product_policy_dependency,estimated_size
compliance,app.engines.compliance.provider_router,6,"withdraw_consent, customer_tenant_response, create_my_request, cancel_my_request, generate_export, staff_tenant_response",0,6,PERMISSION_ONLY_NOT_SCOPE_AWARE (role gate, no access-scope check),HIGH -- ComplianceRequest/ComplianceExport have NO real tenant_id column (JSONB-only scoping); withdraw_consent hardcodes tenant_id=None,HIGH (DPDP regulatory data-subject workflow; incorrect scoping = regulatory violation),HIGH (PII: consent records, data-subject identity, export generation),none directly (no payment) but SLA/regulatory consequences,MEDIUM (cancel/withdraw are reversible in effect but time-sensitive under DPDP SLA),none found (single-object mutations, no bulk endpoint),none found (customer_router.py uses a stricter require_customer already),test_p0_tenant_portal_compliance.py + test_p0_compliance_enterprise.py + test_p0_compliance_sla_automation.py + test_module_l5_15_privacy.py,ready (runtime tool + inventory tests already track this module),possible (export rate-limiting policy; whether staff role should be admitted alongside tenant_owner),medium (6 routes but genuine object-ownership design work due to missing tenant_id column)
package_commerce,app.engines.package_commerce.tenant_router,1,tenant_purchase_package,0,1,PERMISSION_ONLY_NOT_SCOPE_AWARE,MEDIUM -- package_id is catalog-level not tenant-owned; purchase creates the tenant-owned entitlement row (ownership is on the CREATED row not a pre-existing one),MEDIUM (idempotency of purchase),LOW,HIGH (financial/entitlement transaction),LOW (purchase creates, does not destroy),none,none found,likely covered by broader package_commerce test suite (not confirmed this slice),ready,possible (purchase/entitlement semantics -- duplicate-purchase policy),small
customer_reviews,app.engines.customer_reviews.provider_router,2,"flag_review, submit_reply",0,2,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,MEDIUM -- review_id ownership not verified at router layer,MEDIUM,MEDIUM (public-facing provider-impersonation risk on submit_reply),LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,small
marketing_automation,app.engines.marketing_automation.provider_router,3,"update_asset_provider_notes, generate_launch_campaign, submit_campaign_review",0,3,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,MEDIUM -- asset/campaign ownership not verified at router layer,MEDIUM (campaign review state),LOW,LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,small
media_profile,app.engines.media.new_router,6,"upload_provider_logo, remove_provider_logo, upload_provider_shop_photo, remove_provider_shop_photo, upload_staff_profile_photo, remove_staff_profile_photo",0,6,PERMISSION_ONLY_NOT_SCOPE_AWARE,LOW -- self-owned by construction (own tenant/staff profile media only),LOW,LOW,LOW,LOW (delete is recoverable via re-upload),none,none found,test_media_engine.py + test_p0_enterprise_media_library.py (general media coverage, not profile-route-specific),ready (same inventory tool this session already used extensively for platform_notifications),none apparent,small
profile,app.engines.profile.router,3,"update_business_profile, submit_business_profile_for_review, update_staff_profile",0,3,PERMISSION_ONLY_NOT_SCOPE_AWARE,LOW -- self-profile by construction,LOW-MEDIUM (business-profile review state transition),LOW,LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,small
admin_catalog_brand,app.engines.admin_catalog.brand_provider_router,2,"create_brand_request, set_supported_brands",0,2,PERMISSION_ONLY_NOT_SCOPE_AWARE,LOW-MEDIUM -- service_id parent-tenant ownership not verified for set_supported_brands,LOW,LOW,LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,tiny (distinct router; NOT merged with recommendation_router/service_option_provider_router despite shared engine directory -- kept separate per Workstream 4's explicit instruction not to group unrelated routers solely because they share a directory; each has a distinct capability -- brand approval vs. setup recommendations vs. service-option mapping)
admin_catalog_recommendation,app.engines.admin_catalog.recommendation_router,1,provider_setup_recommendations,0,1,PERMISSION_ONLY_NOT_SCOPE_AWARE,LOW -- self-tenant by construction,LOW,LOW,LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,tiny
admin_catalog_service_option,app.engines.admin_catalog.service_option_provider_router,1,set_supported_options,0,1,PERMISSION_ONLY_NOT_SCOPE_AWARE,LOW-MEDIUM -- service_id parent-tenant ownership not verified,LOW,LOW,LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,tiny
analytics,app.engines.analytics.provider_router,1,provider_run_report,0,1,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,LOW -- report scope not verified at router layer,LOW,LOW (report content could include tenant-wide analytics),LOW,LOW,none,none found,not confirmed this slice,ready,none apparent,tiny
