rule_id,verb_token,action,input_source,separator_dependent,http_method_inference,confidence
V_abort,abort,cancel,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_accept,accept,approve,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_activate,activate,activate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_add,add,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_apply,apply,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_approve,approve,approve,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_assign,assign,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_cancel,cancel,cancel,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_change,change,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_compute,compute,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_config,config,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_configure,configure,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_confirm,confirm,confirm,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_create,create,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_deactivate,deactivate,deactivate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_decline,decline,reject,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_delete,delete,delete,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_destroy,destroy,delete,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_disable,disable,deactivate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_dispatch,dispatch,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_downgrade,downgrade,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_download,download,export,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_edit,edit,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_enable,enable,activate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_estimate,estimate,preview,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_execute,execute,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_export,export,export,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_generate,generate,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_hold,hold,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_import,import,import,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_ingest,ingest,import,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_initiate,initiate,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_invalidate,invalidate,revoke,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_issue,issue,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_logout,logout,revoke,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_modify,modify,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_new,new,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_open,open,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_patch,patch,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_preview,preview,preview,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_provision,provision,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_publish,publish,activate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_purge,purge,delete,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_reassign,reassign,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_recalculate,recalculate,recalculate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_recompute,recompute,recalculate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_reenable,reenable,activate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_regenerate,regenerate,rotate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_register,register,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_reinstate,reinstate,activate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_reject,reject,reject,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_remove,remove,delete,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_resend,resend,resend,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_reserve,reserve,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_retry,retry,resend,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_revoke,revoke,revoke,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_rotate,rotate,rotate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_run,run,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_set,set,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_simulate,simulate,preview,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_submit,submit,create,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_suspend,suspend,deactivate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_terminate,terminate,deactivate,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_trigger,trigger,execute,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_update,update,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_upgrade,upgrade,update,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_upload,upload,import,tokenized path/endpoint/service,no -- token-based,no,TOKEN
V_verify,verify,confirm,tokenized path/endpoint/service,no -- token-based,no,TOKEN
