status,possible_creator,possible_confirmation_actor,customer_identity_authoritative,customer_participation,fabricable_provider_only,qualifies_for_relationship_evidence,may_convert_to_job,cancellation_changes_historical_authority,disposition
draft,customer or tenant_owner,n/a (not yet confirmable),yes (post-fix, both branches now validated/relationship-checked at creation),required for self-booking; relationship-backed for assisted (post-fix),no (post-fix -- assisted creation itself now requires relationship),no,no,n/a,NON_QUALIFYING_DRAFT
pending_confirmation,customer or tenant_owner,n/a,yes (post-fix),same as draft,no (post-fix),no,no,n/a,NON_QUALIFYING_DRAFT
pending,customer or tenant_owner,n/a,yes (post-fix),same as draft,no (post-fix),no,no,n/a,NON_QUALIFYING_DRAFT
confirmed,customer or tenant_owner (creation) + tenant_owner (confirmation),tenant_owner,yes (post-fix -- both creation branches now validated),required for self-booking; relationship-backed for assisted (post-fix),NO LONGER (post-fix closes the pre-fix fabrication path),YES (qualifying),yes,no (historical confirmation stands),QUALIFYING_CUSTOMER_AUTHORIZED (self-booking) / QUALIFYING_EXISTING_RELATIONSHIP_ASSISTED (assisted)
rejected,customer or tenant_owner (creation) + tenant_owner (rejection),tenant_owner,yes (post-fix),n/a (never reaches confirmation),no,no,no,n/a,NON_QUALIFYING_REJECTED
converted_to_job,as above + Booking.convert_to_job (system transition),tenant_owner (via convert_to_job),yes (post-fix),yes (already confirmed),NO LONGER,YES (strongest evidence),n/a (already converted),no,QUALIFYING_TRUSTED_SYSTEM
scheduled,as above,tenant_owner/system,yes (post-fix),yes (reached via confirmed),NO LONGER,YES,yes (via confirmed precondition),no,QUALIFYING_EXISTING_RELATIONSHIP_ASSISTED / QUALIFYING_CUSTOMER_AUTHORIZED
dispatching,as above,system,yes (post-fix),yes,NO LONGER,YES,yes,no,same as scheduled
in_progress,as above,system,yes (post-fix),yes,NO LONGER,YES,yes,no,same as scheduled
completed,as above,system,yes (post-fix),yes,NO LONGER,YES,yes,no,same as scheduled
cancelled,customer or tenant_owner,tenant_owner or customer,ambiguous (ambiguous whether ever confirmed -- unchanged from 2F-14G finding),ambiguous,no (post-fix, at creation),no (current status alone still cannot prove prior confirmation -- unchanged from 2F-14G),no,n/a -- a Job produced BEFORE cancellation remains valid evidence via its own booking_id lineage,NON_QUALIFYING_INVALID (ambiguous provenance, unchanged)
expired,system,n/a,yes (post-fix),no (never confirmed),no,no,no,n/a,NON_QUALIFYING_EXPIRED
voided,tenant_owner/system,n/a,ambiguous,ambiguous,no (post-fix, at creation),no (unchanged from 2F-14G),no,n/a,NON_QUALIFYING_INVALID
