route_function,final_persona,justification
provider_list_notifications,TENANT_OWNER_NOTIFICATION_ADMIN,office surface for tenant_owner/staff; require_owner_or_office_staff_mutation
provider_unread_count,TENANT_OWNER_NOTIFICATION_ADMIN,same as above
provider_mark_read,TENANT_STAFF_NOTIFICATION_OPERATION,mutation on own notification
provider_mark_all_read,TENANT_STAFF_NOTIFICATION_OPERATION,bulk mutation scoped to caller only (not cross-user)
provider_get_prefs,TENANT_OWNER_NOTIFICATION_ADMIN,read
provider_update_pref,TENANT_STAFF_NOTIFICATION_OPERATION,mutation on own preference row only
provider_list_threads,TENANT_STAFF_NOTIFICATION_OPERATION,tenant-wide list (design choice, see known-limitations.md)
provider_create_thread,TENANT_TO_CUSTOMER_COMMUNICATION,creates/attaches customer-facing conversation; record ownership enforced this slice
provider_get_thread,TENANT_STAFF_NOTIFICATION_OPERATION,tenant-gated read
provider_list_messages,TENANT_STAFF_NOTIFICATION_OPERATION,tenant-gated read
provider_send_message,TENANT_TO_CUSTOMER_COMMUNICATION,sends into a customer-linked conversation
provider_mark_thread_read,TENANT_STAFF_NOTIFICATION_OPERATION,self read-receipt only
provider_list_audit,TENANT_OWNER_NOTIFICATION_ADMIN,tenant-scoped audit read
provider_record_timeline,TENANT_OWNER_NOTIFICATION_ADMIN,tenant-scoped audit read
staff_list_notifications,ASSIGNED_STAFF_CONVERSATION_OPERATION,staff/technician self-service surface
staff_unread_count,ASSIGNED_STAFF_CONVERSATION_OPERATION,as above
staff_mark_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,mutation on own notification
staff_mark_all_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,bulk mutation scoped to caller only
staff_list_threads,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,label reflects intended persona; actual enforcement is tenant-wide not participant-limited -- see known-limitations.md / product-decisions-required.md
staff_get_thread,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,as above
staff_list_messages,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,as above
staff_send_message,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,as above
staff_mark_thread_read,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,self read-receipt only
