method,path,m_capability,t_capability,m_side_effect,t_side_effect,m_persona,t_persona,m_direction,t_direction,m_abstain,t_abstain,agree_capability,agree_side_effect,agree_persona,agree_direction
POST,/v1/tenants/{tenant_id}/data/delete-request,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
POST,/v1/tenants/{tenant_id}/reinstate,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
POST,/v1/tenants/{tenant_id}/trial/convert,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
POST,/v1/tenant/service-areas/{area_id}/set-primary,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
PUT,/v1/tenant/service-areas/{area_id},TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,PRINCIPAL_TENANT,,,True,True,True,True
GET,/v1/compliance/consent/users/{user_id},AMBIGUOUS,ANY_AUTHENTICATED,PURE_READ,PURE_READ,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,False,True,True,True
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ANY_AUTHENTICATED,ANY_AUTHENTICATED,PURE_READ,DATABASE_MUTATION,TENANT_PROVIDER_READ,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,False,True,True
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/inventory/tenants/{tenant_id}/items,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/pricing/tenants/{tenant_id}/zones,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
DELETE,/v1/auth/sessions/{session_id},ANY_AUTHENTICATED,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,,,True,True,True,True
POST,/v1/analytics/events/ingest,ANY_AUTHENTICATED,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/appointments/{appointment_id}/reschedule,AMBIGUOUS,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,False,True,True,True
POST,/v1/auth/staff/{user_id}/invite/resend,AMBIGUOUS,AMBIGUOUS,DATABASE_MUTATION,DATABASE_MUTATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,NO_TENANT_AUTHORITY_REQUIRED,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True,True,True,False
POST,/v1/commerce/warranty/claims,TENANT_PROVIDER,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,SELF_SERVICE_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,NO_TENANT_AUTHORITY_REQUIRED,,,False,True,False,False
POST,/v1/dispatch/jobs/{job_id}/dispatch,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/enterprise/column-preferences/reset,ANY_AUTHENTICATED,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,,,True,True,True,True
POST,/v1/inventory/reservations/release,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/payments/invoices,TENANT_PROVIDER,TENANT_PROVIDER,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
POST,/v1/security/activity/record,ANY_AUTHENTICATED,ANY_AUTHENTICATED,DATABASE_MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,,,True,True,True,True
