module,route,before,after
platform_commerce_deposit,GET /v1/commerce/tenants/{tenant_id}/deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
platform_commerce_deposit,POST /v1/commerce/tenants/{tenant_id}/deposit/initiate,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
platform_commerce_deposit,GET /v1/commerce/tenants/{tenant_id}/deposit/transactions,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,POST /v1/pricing/tenants/{tenant_id}/prices/set,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,PUT /v1/pricing/tenants/{tenant_id}/brand-adjustment,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,POST /v1/pricing/tenants/{tenant_id}/zones,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,PUT /v1/pricing/tenants/{tenant_id}/zones/{zone_id},NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,DELETE /v1/pricing/tenants/{tenant_id}/zones/{zone_id},NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,POST /v1/pricing/tenants/{tenant_id}/rules,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,PUT /v1/pricing/tenants/{tenant_id}/rules/{rule_id},NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,DELETE /v1/pricing/tenants/{tenant_id}/rules/{rule_id},NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
pricing,POST /v1/pricing/compute,NOT_CANONICAL (held),TENANT_MUTATION_ROLE_SCOPE_AWARE
commerce,POST /v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
commerce,POST /v1/commerce/warranty/claims,NOT_CANONICAL (held),TENANT_MUTATION_ROLE_SCOPE_AWARE
commerce,POST /v1/commerce/tenants/{tenant_id}/badges/recalculate,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
payments,POST /v1/payments/tenants/{tenant_id}/payout,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
subscriptions,PUT /v1/subscriptions/tenants/{tenant_id}/plan,NOT_CANONICAL (held),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
compliance,POST /v1/compliance/deletion-requests,NOT_CANONICAL (held),TENANT_MUTATION_ROLE_SCOPE_AWARE
compliance,POST /v1/compliance/portability-requests,NOT_CANONICAL (held),TENANT_MUTATION_ROLE_SCOPE_AWARE
