method,path,side_effect,mutated_resource,capability_family,capability_action,persona,tenant_direction,in_denominator,protection,canonical_expectation,manual_confidence,abstention_reason
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,DATABASE_MUTATION,TenantEngine,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/plan/downgrade,DATABASE_MUTATION,TenantPlan,tenant_governance,create,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/terminate/begin,DATABASE_MUTATION,Tenant,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
PUT,/v1/tenants/{tenant_id}/billing/payment-method,DATABASE_MUTATION,TenantBilling,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,DATABASE_MUTATION,TenantEngine,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
GET,/v1/media/signed/{token},PURE_READ,,media,other,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
DELETE,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,TenantSetting,other,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,DATABASE_MUTATION,LTVSnapshot,analytics,recalculate,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/geo/tenants/{tenant_id}/zones,DATABASE_MUTATION,GeoZone,geography_serviceability,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/pricing/tenants/{tenant_id}/prices/set,DATABASE_MUTATION,ServicePrice,pricing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,DATABASE_MUTATION,BrandAdjustment,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,PricingRule,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
DELETE,/v1/media/{media_id},DATABASE_MUTATION,MediaAsset,media,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
DELETE,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,KnowledgeBase,other,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/{appointment_id}/confirm,DATABASE_MUTATION,Appointment,booking,confirm,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/auth/logout-all,DATABASE_MUTATION,Session,identity_access,create,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
POST,/v1/auth/sessions/revoke-all-other,DATABASE_MUTATION,Session,identity_access,revoke,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
POST,/v1/chat/conversations,DATABASE_MUTATION,Conversation,notification,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/compliance/deletion-requests,DATABASE_MUTATION,DeletionRequest,compliance,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/dispatch/jobs/{job_id}/accept,DATABASE_MUTATION,ServiceJob,job_execution,execute,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/documents/{document_id}/send,DATABASE_MUTATION,Document,media,create,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,MEDIUM,
POST,/v1/enterprise/exports/{export_id}/retry,DATABASE_MUTATION,ExportJob,analytics,create,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
POST,/v1/inventory/reservations,DATABASE_MUTATION,InventoryReservation,other,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/media/upload/{session_id}/confirm,DATABASE_MUTATION,MediaAsset,media,confirm,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
