rank,module,route_count,primary_risk,blocking_product_decision,dependency_on_another_module,recommended_future_slice,discovery_complete,implementation_can_begin_directly,required_prerequisite
1,app.engines.compliance.provider_router,6,HIGH (DPDP regulatory data, scope-without-ownership gap),possible -- export-generation rate limiting/throttling may need a product decision,none,2F-19 (tentative),yes (this slice),mostly -- object-ownership investigation still needed at implementation time,none blocking; recommend investigating export rate-limit policy early in that slice
2,app.engines.package_commerce.tenant_router,1,MEDIUM (financial/entitlement transaction),possible -- package purchase entitlement/idempotency semantics may need product input,none,bundle with a future finance-adjacent slice,yes,mostly,none blocking
3,app.engines.customer_reviews.provider_router,2,MEDIUM (public-facing content, provider impersonation risk),none identified,none,bundle with platform_notifications or its own small slice,yes,yes,none
4,app.engines.marketing_automation.provider_router,3,MEDIUM (zero-auth, but low real-world caller evidence),none identified,none,small future slice,yes,yes,none
5,app.engines.media.new_router,6,LOW-MEDIUM (scope-without-ownership, low customer-data impact),none identified,none,small future slice (straightforward access-scope pattern),yes,yes,none
6,app.engines.profile.router,3,LOW-MEDIUM (scope-without-ownership),none identified,none,bundle with media.new_router (both are provider/staff self-service profile-adjacent),yes,yes,none
7,app.engines.admin_catalog.brand_provider_router,2,LOW,none identified,none,bundle with recommendation_router/service_option_provider_router (same engine),yes,yes,none
8,app.engines.admin_catalog.recommendation_router,1,LOW,none identified,none,bundle with brand_provider_router,yes,yes,none
9,app.engines.admin_catalog.service_option_provider_router,1,LOW,none identified,none,bundle with brand_provider_router,yes,yes,none
10,app.engines.analytics.provider_router,1,LOW,none identified,none,bundle with any small future slice,yes,yes,none
