app,route_type,route,notes
super-admin,production,/admin/dashboard,
super-admin,production,/admin/tenants,
super-admin,production,/admin/tenants/[id],
super-admin,production,/admin/tenants/onboarding,
super-admin,production,/admin/staff,
super-admin,production,/admin/staff/[id],
super-admin,production,/admin/customers,
super-admin,production,/admin/customers/[id],
super-admin,production,/admin/bookings,
super-admin,production,/admin/bookings/[id],
super-admin,production,/admin/home-services/service-jobs,
super-admin,production,/admin/home-services/service-jobs/[jobId],
super-admin,production,/admin/home-services/overview,
super-admin,production,/admin/home-services/booking-drafts,
super-admin,production,/admin/home-services/matching-diagnostics,
super-admin,production,/admin/home-services/price-experience,
super-admin,production,/admin/home-services/pricing-rules,
super-admin,production,/admin/home-services/provider-matching,
super-admin,production,/admin/home-services/service-areas,
super-admin,production,/admin/home-services/service-catalog,
super-admin,production,/admin/home-services/settings,
super-admin,production,/admin/home-services/completed-job-deduction,
super-admin,production,/admin/catalog,
super-admin,production,/admin/catalog/[vertical],
super-admin,production,/admin/catalog-module/[key],
super-admin,production,/admin/categories,
super-admin,production,/admin/categories/[id],
super-admin,production,/admin/master-services,
super-admin,production,/admin/service-groups,
super-admin,production,/admin/service-options,
super-admin,production,/admin/service-options/[id],
super-admin,production,/admin/service-setup/*,~15 subroutes (brands/templates/bulk-wizard/issue-types/option-groups etc)
super-admin,production,/admin/pricing/*,6 subroutes (bargain-rules/commission/tiers/provider-overrides)
super-admin,production,/admin/pricing-rules,
super-admin,production,/admin/pricing-tiers,
super-admin,production,/admin/finance/*,10 subroutes (claims/deposits/payouts/topups/wallets/customer-credits/tenant-penalties/dispute-settlements/usage-credits)
super-admin,production,/admin/financial-events,
super-admin,production,/admin/commission-records,
super-admin,production,/admin/provider-wallets,
super-admin,production,/admin/payments,
super-admin,production,/admin/marketing/*,7 subroutes
super-admin,production,/admin/analytics/*,8 subroutes (staff/quality/complaints/financial/alerts/categories/providers)
super-admin,production,/admin/complaints,
super-admin,production,/admin/complaints/[id],
super-admin,production,/admin/complaint-policies,
super-admin,production,/admin/refund-requests,
super-admin,production,/admin/rework-requests,
super-admin,production,/admin/reviews,
super-admin,production,/admin/review-flags,
super-admin,production,/admin/review-policies,
super-admin,production,/admin/review-replies,
super-admin,production,/admin/rating-summaries,
super-admin,production,/admin/checklists,
super-admin,production,/admin/checklist-templates,
super-admin,production,/admin/compliance,
super-admin,production,/admin/security,
super-admin,production,/admin/security/threats/[threat_id],
super-admin,production,/admin/audit-logs,
super-admin,production,/admin/exports,
super-admin,production,/admin/engines,
super-admin,production,/admin/engines/[engine_key],
super-admin,production,/admin/engines/resolver,
super-admin,production,/admin/workflow-templates,
super-admin,production,/admin/workflows/templates,
super-admin,production,/admin/workflows/templates/[id],
super-admin,production,/admin/users,
super-admin,production,/admin/users/[id],
super-admin,production,/admin/users/permissions,
super-admin,production,/admin/users/roles,
super-admin,production,/admin/settings,
super-admin,production,/admin/notification-outbox,
super-admin,production,/admin/notification-templates,
super-admin,production,/admin/notifications,
super-admin,production,/admin/notifications/settings,
super-admin,production,/admin/notifications/templates,
super-admin,production,/admin/ai/*,4 subroutes (metrics/failed-actions/sessions)
super-admin,production,/admin/ai-chat/*,4 subroutes (logs/prompt-templates/sessions/test-console)
super-admin,production,/admin/intelligence,
super-admin,production,/admin/automation/*,3 subroutes (recommendation-rules/results)
super-admin,production,/admin/coaching/appointment-drafts,
super-admin,production,/admin/customer-flow,
super-admin,production,/admin/customer-flow/drafts,
super-admin,production,/admin/customer-flow/drafts/[draftId],
super-admin,production,/admin/operations,
super-admin,production,/admin/operations/[jobId],
super-admin,production,/admin/onboarding/providers,
super-admin,production,/admin/brands,
super-admin,production,/admin/brand-requests,
super-admin,production,/admin/types-brands,
super-admin,production,/admin/verticals,
super-admin,production,/admin/issue-types,
super-admin,production,/admin/location-mapping,
super-admin,production,/admin/service-invoices,
super-admin,production,/admin/reports,
super-admin,production,/admin/trust-quality,
super-admin,production,/admin/bookability/providers,
super-admin,production,/admin/account/*,3 subroutes
super-admin,production,/admin/profile,
super-admin,auth,/login,
super-admin,auth,/change-password-required,
super-admin,dev-showcase,/dev/ux-02/*,10 dev-only showcase routes -- correctly isolated under /dev not linked from production nav
super-admin,dev-showcase,/dev/design-system,
super-admin,dev-showcase,/dev/sample-shell,
tenant-portal,production,/(tenant)/dashboard,
tenant-portal,production,/(tenant)/bookings,/(tenant)/bookings/[id]
tenant-portal,production,/(tenant)/jobs,/(tenant)/jobs/[id]
tenant-portal,production,/(tenant)/service-jobs,/(tenant)/service-jobs/[id] + /execution + /quotes subroutes -- REAL flow verified live this round
tenant-portal,production,/(tenant)/staff,/(tenant)/staff/[id]
tenant-portal,production,/(tenant)/customers,/(tenant)/customers/[id]
tenant-portal,production,/(tenant)/catalog,
tenant-portal,production,/(tenant)/services,
tenant-portal,production,/(tenant)/service-areas,
tenant-portal,production,/(tenant)/inventory,
tenant-portal,production,/(tenant)/finance,+3 subroutes (package/security-deposit/usage-credit-ledger)
tenant-portal,production,/(tenant)/packages,
tenant-portal,production,/(tenant)/wallet,
