module,critical_flag,evidence_route
M01_identity_credentials,password_or_mfa_mutation,"PUT /v1/auth/password/change, POST /v1/auth/mfa/disable"
M01_identity_credentials,api_key_create_update_revoke,POST/PATCH/DELETE /v1/auth/api-keys[/{key_id}]
M01_identity_credentials,impersonation,POST /v1/auth/impersonate
M01_identity_credentials,role_or_staffpermission_mutation,PUT /v1/auth/staff/{user_id}/permissions
M01_identity_credentials,staff_invite_deactivate,"POST /v1/auth/staff/invite, POST /v1/auth/staff/{user_id}/deactivate"
M06_security_deposit,payment_state_or_amount_authority,POST /v1/commerce/tenants/{tenant_id}/deposit/initiate
M06_security_deposit,client_asserted_tenant_mutation,path {tenant_id} used without principal-vs-target check
M10_webhook_integration,webhook_external_delivery_change,DELETE /v1/webhooks/endpoints/{endpoint_id}
M10_webhook_integration,delete_by_id,DELETE by object id
M10_webhook_integration,client_asserted_tenant_mutation,path {tenant_id} used without principal-vs-target check
M11_geo_zones,delete_by_id_without_tenant_ownership,DELETE /v1/geo/zones/{zone_id}
M02_media_assets,delete_by_id,DELETE by object id
