method,path,endpoint_name,capability,record_model,table,service_method,auth_guard,permission_guard,access_scope_guard,tenant_scoping,coverage_ownership,geography_reference_validation,state_validation,frontend_callers,internal_callers,alternate_routes,real_mutation,current_accessibility_before,current_accessibility_after,intended_persona,final_classification
POST,/v1/customers/me/addresses,create_my_address,Create customer's own address,CustomerAddress,customer_addresses,create_address,get_current_user,CUSTOMER_ADDRESS_CREATE_OWN (customer role only),n/a (customer-own, not tenant-scoped),customer_id = caller's own user_id,n/a (no tenant coverage concept),none (free-text city/state/zipcode fields; no canonical geography table exists to validate against),n/a,none found (customer-app not audited this slice),none found,none,YES,customer role only,unchanged (already correctly scoped),customer's own address self-service,CUSTOMER_MUTATION (FALSE_POSITIVE for tenant-scope tooling -- not a tenant mutation)
PUT,/v1/customers/me/addresses/{address_id},update_my_address,Update customer's own address,CustomerAddress,customer_addresses,update_address,get_current_user,CUSTOMER_ADDRESS_UPDATE_OWN,n/a,address ownership verified via get_address (not independently re-traced this slice -- out of scope, customer-facing),n/a,none,n/a,none found,none found,none,YES,customer role only,unchanged,customer self-service,CUSTOMER_MUTATION (FALSE_POSITIVE)
DELETE,/v1/customers/me/addresses/{address_id},delete_my_address,Soft-delete customer's own address,CustomerAddress,customer_addresses,delete_address,get_current_user,CUSTOMER_ADDRESS_DELETE_OWN,n/a,same as above,n/a,none,n/a,none found,none found,none,YES,customer role only,unchanged,customer self-service,CUSTOMER_MUTATION (FALSE_POSITIVE)
POST,/v1/customers/me/addresses/{address_id}/set-default,set_default_address,Set an address as default,CustomerAddress,customer_addresses,set_default_address,get_current_user,CUSTOMER_ADDRESS_UPDATE_OWN,n/a,same as above,n/a,none,n/a,none found,none found,none,YES,customer role only,unchanged,customer self-service,CUSTOMER_MUTATION (FALSE_POSITIVE)
POST,/v1/tenant/service-areas,create_tenant_service_area,Create a tenant service area (city/zipcode/zone/radius coverage),TenantServiceArea,tenant_service_areas,create_service_area,get_current_user,TENANT_SERVICE_AREA_CREATE (tenant_owner only -- re-verified via ROLE_PERMISSIONS),FIXED THIS SLICE: require_tenant_mutation_permission (was: none),tenant_id server-derived from caller + _assert_owns_tenant,advisory-lock + duplicate-check (pre-existing) + plan-limit check,coverage-type-specific required-field validation (_validate_coverage; pre-existing) -- no canonical geography table exists to validate city/state/zipcode against,duplicate-active-area rejected (pre-existing),tenant-portal (service-areas page -- not independently re-verified this slice's frontend workstream in depth beyond existence check),none found,admin_create_service_area (platform-admin equivalent -- stronger not weaker),YES,ANY role holding TENANT_SERVICE_AREA_CREATE (tenant_owner only) with NO access-scope check,tenant_owner only + mutation-capable access scope,TENANT_OWNER_SERVICE_AREA,TENANT_OWNER_SERVICE_AREA
POST,/v1/tenant/service-areas/validate,validate_tenant_service_area,Dry-run validate a candidate service area before saving,none (validation only -- no db.add/commit found in validate_service_area),n/a,validate_service_area,get_current_user,TENANT_SERVICE_AREA_CREATE,FIXED THIS SLICE: require_tenant_mutation_permission,tenant_id server-derived + _assert_owns_tenant (via get_service_area_limits),same validation rules as create (pre-existing),same as create,n/a (no state change -- this is a read-like preview),n/a,none found,none,NO (confirmed no real mutation -- pure validation/preview),ANY role holding TENANT_SERVICE_AREA_CREATE with no access-scope check,tenant_owner only + mutation-capable scope (applied for consistency with the create flow it previews),TENANT_OWNER_SERVICE_AREA,TENANT_OWNER_SERVICE_AREA (no real mutation but consistently guarded)
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,Update a service area's coverage fields,TenantServiceArea,tenant_service_areas,update_service_area,get_current_user,TENANT_SERVICE_AREA_UPDATE (tenant_owner only),FIXED THIS SLICE: require_tenant_mutation_permission,area loaded then _assert_owns_tenant(area.tenant_id) (pre-existing -- rejects foreign area_id with NotFoundException; also handles the FINAL-L5-05Q admin_tenant_id mismatch case),duplicate-check on changed coverage fields (pre-existing),same coverage-type validation as create (pre-existing),n/a,tenant-portal (existence not re-verified in depth),none found,admin_update_service_area (stronger),YES,ANY role holding TENANT_SERVICE_AREA_UPDATE with no access-scope check,tenant_owner only + mutation-capable scope,TENANT_OWNER_SERVICE_AREA,TENANT_OWNER_SERVICE_AREA
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,Deactivate (soft-delete) a service area,TenantServiceArea,tenant_service_areas,deactivate_service_area,get_current_user,TENANT_SERVICE_AREA_DELETE (tenant_owner only),FIXED THIS SLICE: require_tenant_mutation_permission,area loaded then _assert_owns_tenant (pre-existing),n/a,n/a,is_active flag set false -- no hard delete,n/a,tenant-portal,none found,admin_delete_service_area (stronger),YES,ANY role holding TENANT_SERVICE_AREA_DELETE with no access-scope check,tenant_owner only + mutation-capable scope,TENANT_OWNER_SERVICE_AREA,TENANT_OWNER_SERVICE_AREA
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,Mark a service area as the tenant's primary coverage area,TenantServiceArea,tenant_service_areas,set_primary_service_area,get_current_user,TENANT_SERVICE_AREA_UPDATE (tenant_owner only),FIXED THIS SLICE: require_tenant_mutation_permission,area loaded then _assert_owns_tenant (pre-existing),n/a,n/a,unsets is_primary on all other areas for the tenant (pre-existing, atomic within the same commit),n/a,tenant-portal,none found,none,YES,ANY role holding TENANT_SERVICE_AREA_UPDATE with no access-scope check,tenant_owner only + mutation-capable scope,TENANT_OWNER_SERVICE_AREA,TENANT_OWNER_SERVICE_AREA
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,Map a canonical service to a service area (enable coverage for that service),TenantServiceAreaService,tenant_service_area_services,add_service_mapping,get_current_user,TENANT_SERVICE_AREA_SERVICE_CREATE (tenant_owner only),FIXED THIS SLICE: require_tenant_mutation_permission,area loaded via get_service_area (which calls _assert_owns_tenant) before mapping creation (pre-existing),service_id validated against canonical admin_catalog.MasterService (must exist + be active -- MODULE-L5-02 fix, pre-existing) + duplicate-mapping check (pre-existing),job_type/sla/price field validation (_validate_mapping_fields; pre-existing),duplicate active mapping for same service+job_type rejected (pre-existing),tenant-portal,none found,none,YES,ANY role holding TENANT_SERVICE_AREA_SERVICE_CREATE with no access-scope check,tenant_owner only + mutation-capable scope,TENANT_OWNER_SERVICE_COVERAGE,TENANT_OWNER_SERVICE_COVERAGE
