method,path,A_persona,B_persona,A_dir,B_dir,disputed
POST,/v1/serviceability/check,PRODUCT_DECISION_REQUIRED,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,persona+direction
POST,/v1/compliance/deletion-requests,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/compliance/portability-requests,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/security/sessions,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/security/sessions/{session_id}/revoke,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/chat/conversations,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/chat/conversations/{conversation_id}/messages,TENANT_PROVIDER_MUTATION,SELF_SERVICE_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,PRODUCT_DECISION_REQUIRED,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,persona+direction
POST,/v1/inventory/reservations,PRODUCT_DECISION_REQUIRED,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,persona+direction
POST,/v1/inventory/reservations/confirm,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
