endpoint,previous_guard,new_guard,required_permission,acting_persona,tenant_ownership,coverage_ownership,read_only_result,authorized_result,unauthorized_result,cross_tenant_result,tests
create_tenant_service_area,require_permission(TENANT_SERVICE_AREA_CREATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_CREATE),TENANT_SERVICE_AREA_CREATE,tenant_owner,enforced (server-derived tenant_id),n/a (new record),403 PERMISSION_DENIED (customer_support_limited denied despite owner role),200/business-logic error (cleared auth),403 (staff/technician/customer/guest lack the permission entirely),n/a (new record has no foreign owner to test against at creation time),TestTenantOwnerServiceAreaAuthorization (8-route parametrized suite)
validate_tenant_service_area,require_permission(TENANT_SERVICE_AREA_CREATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_CREATE),TENANT_SERVICE_AREA_CREATE,tenant_owner,enforced,n/a,403,200/business-logic error,403,n/a,same suite
update_tenant_service_area,require_permission(TENANT_SERVICE_AREA_UPDATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_UPDATE),TENANT_SERVICE_AREA_UPDATE,tenant_owner,enforced,enforced (_assert_owns_tenant on loaded area; pre-existing),403,200/business-logic error,403,403 NotFoundException (foreign area_id rejected -- direct test proof, not source-string),same suite + TestCrossTenantServiceAreaRejection
delete_tenant_service_area,require_permission(TENANT_SERVICE_AREA_DELETE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_DELETE),TENANT_SERVICE_AREA_DELETE,tenant_owner,enforced,enforced,403,200/business-logic error,403,403 NotFoundException (direct test),same
set_primary_tenant_service_area,require_permission(TENANT_SERVICE_AREA_UPDATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_UPDATE),TENANT_SERVICE_AREA_UPDATE,tenant_owner,enforced,enforced,403,200/business-logic error,403,403 (same ownership check as update),same suite
add_service_mapping,require_permission(TENANT_SERVICE_AREA_SERVICE_CREATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_SERVICE_CREATE),TENANT_SERVICE_AREA_SERVICE_CREATE,tenant_owner,enforced (via parent area),enforced (get_service_area -> _assert_owns_tenant),403,200/business-logic error,403,403 (foreign area rejected via parent ownership check),same suite
update_service_mapping,require_permission(TENANT_SERVICE_AREA_SERVICE_UPDATE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_SERVICE_UPDATE),TENANT_SERVICE_AREA_SERVICE_UPDATE,tenant_owner,enforced,enforced (_get_mapping cross-checks mapping.tenant_service_area_id == area.id),403,200/business-logic error,403,403 (foreign mapping rejected),same suite
delete_service_mapping,require_permission(TENANT_SERVICE_AREA_SERVICE_DELETE),require_tenant_mutation_permission(TENANT_SERVICE_AREA_SERVICE_DELETE),TENANT_SERVICE_AREA_SERVICE_DELETE,tenant_owner,enforced,enforced,403,200/business-logic error,403,403,same suite
admin_create_service_area,require_permission(PLATFORM_ADMIN),unchanged (PLATFORM_ADMIN-only; access-scope guard not applicable to platform admin),PLATFORM_ADMIN,super_admin,n/a (platform admin acts cross-tenant by design),same as tenant path,n/a,200 (unchanged),403 (tenant roles denied -- unchanged),n/a (platform admin is exempt from tenant ownership by design),TestPlatformAdminRoutesUnaffected
admin_update_service_area,require_permission(PLATFORM_ADMIN),unchanged,PLATFORM_ADMIN,super_admin,n/a,FINAL-L5-05Q mismatch check (pre-existing, unmodified),n/a,200,403,n/a,same
admin_delete_service_area,require_permission(PLATFORM_ADMIN),unchanged,PLATFORM_ADMIN,super_admin,n/a,same,n/a,200,403,n/a,same
