app,route,disposition,consolidation_group,notes
super-admin,/admin/dashboard,PRIMARY_NAVIGATION,Home,gains My Work panel
super-admin,/admin/tenants,PRIMARY_NAVIGATION,Businesses,list view
super-admin,/admin/tenants/onboarding,DETAIL_TAB,Business Approval Workspace,merge target TBD - pick more complete impl
super-admin,/admin/onboarding/providers,DETAIL_TAB,Business Approval Workspace,merge source or retire per implementation review
super-admin,/admin/packages,PRIMARY_NAVIGATION,Businesses,
super-admin,/admin/trust-quality,PRIMARY_NAVIGATION,Businesses,
super-admin,/admin/bookings,PRIMARY_NAVIGATION (kept, not retired),Operations,VERIFICATION REVERSAL: confirmed active caller (10 call sites in super-admin lib/api.ts) - cannot be retired from nav; shown as a labeled secondary view distinct from canonical Home Services Jobs view
super-admin,/admin/home-services/service-jobs,PRIMARY_NAVIGATION,Operations,canonical
super-admin,/admin/customers,PRIMARY_NAVIGATION,Operations,
super-admin,/admin/staff,PRIMARY_NAVIGATION,Operations,
super-admin,/admin/reviews,BLOCKED,-,pending verification of which review stack this page targets
super-admin,/admin/complaints,PRIMARY_NAVIGATION,Operations,
super-admin,/admin/complaint-policies,DETAIL_TAB,Operations > Complaints,
super-admin,/admin/verticals,PRIMARY_NAVIGATION,Services,
super-admin,/admin/categories,DETAIL_TAB,Services,
super-admin,/admin/pricing-tiers,DETAIL_TAB,Services > Pricing,
super-admin,/admin/location-mapping,DETAIL_TAB,Services > Pricing,
super-admin,/admin/pricing/provider-overrides,DETAIL_TAB,Services > Pricing,
super-admin,/admin/pricing/commission,DETAIL_TAB,Services > Pricing,
super-admin,/admin/home-services/*,CONVERT_TO_WORKSPACE,Services > Home Services,9 pages -> 1 workspace w/ tabs
super-admin,/admin/finance,PRIMARY_NAVIGATION,Finance,landing
super-admin,/admin/finance/usage-credits,DETAIL_TAB,Finance,
super-admin,/admin/finance/deposits,DETAIL_TAB,Finance,BLOCKED content pending security deposit decision
super-admin,/admin/finance/topups,DETAIL_TAB,Finance,
super-admin,/admin/finance/claims,DETAIL_TAB,Finance,
super-admin,/admin/finance/payouts,DETAIL_TAB,Finance,
super-admin,/admin/service-invoices,DETAIL_TAB,Finance,re-added from orphaned nav
super-admin,/admin/provider-wallets,DETAIL_TAB,Finance,re-added from orphaned nav
super-admin,/admin/commission-records,DETAIL_TAB,Finance,re-added from orphaned nav
super-admin,/admin/payments,DETAIL_TAB,Finance,re-added from orphaned nav
super-admin,/admin/financial-events,DETAIL_TAB,Finance,re-added from orphaned nav
super-admin,/admin/compliance,PRIMARY_NAVIGATION (moved),Governance,relocated out of Finance
