method,path,endpoint_name,router_module,guard_before,guard_after,reachability,record_type,capability,acting_persona,final_classification
POST,/v1/admin/service-jobs/{job_id}/force-close,admin_force_close,app.engines.execution.home_service_router,require_permission(P.ADMIN_JOBS_FORCE_CLOSE),unchanged,YES,ServiceJob,Admin force-close a job,platform admin (admin_operations),PLATFORM_ADMIN_ONLY
POST,/v1/admin/service-jobs/{job_id}/status-override,admin_override_status,app.engines.execution.home_service_router,require_permission(P.ADMIN_JOBS_STATUS_OVERRIDE),unchanged,YES,ServiceJob,Admin override job status,platform admin (admin_operations),PLATFORM_ADMIN_ONLY
POST,/v1/admin/service-jobs/{job_id}/void,admin_void,app.engines.execution.home_service_router,require_permission(P.ADMIN_JOBS_VOID),unchanged,YES,ServiceJob,Admin void a job,platform admin (admin_operations),PLATFORM_ADMIN_ONLY
POST,/v1/staff/service-jobs/{job_id}/accept,staff_accept_job,app.engines.execution.home_service_router,get_current_user (no route decorator),DECORATOR REMOVED -- function preserved undeleted,NO (never was -- decorator removed this slice),ServiceJob,Staff accept job (dead code, formerly shadowed),n/a,DISCONNECTED
POST,/v1/staff/service-jobs/{job_id}/complete,staff_complete_job,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Staff completes job,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/complete-inspection,staff_complete_inspection,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Completes inspection phase,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/customer-not-available,staff_customer_not_available,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Marks customer not available,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/diagnosis-notes,staff_add_diagnosis_note,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJobExecutionNote,Adds diagnosis note,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/media,staff_upload_media,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJobMediaUpload,Uploads evidence/media,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/notes,staff_add_note,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJobExecutionNote,Adds general note,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/on-the-way,staff_on_the_way,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Marks en-route,staff/technician (assigned),TECHNICIAN_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/parts-requests,staff_create_parts_request,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,PartsRequest (job_id-linked),Creates parts request,technician (assigned),PROVIDER_PARTS_MUTATION
POST,/v1/staff/service-jobs/{job_id}/parts-required,staff_parts_required,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Flags parts required,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/quote-required,staff_quote_required,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Flags quote required,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/reached-site,staff_reached_site,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Marks arrival at site,staff/technician (assigned),TECHNICIAN_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/reject,staff_reject_job,app.engines.execution.home_service_router,get_current_user (no route decorator),DECORATOR REMOVED -- function preserved undeleted,NO (never was -- decorator removed this slice),ServiceJob,Staff reject job (dead code, formerly shadowed),n/a,DISCONNECTED
POST,/v1/staff/service-jobs/{job_id}/start-inspection,staff_start_inspection,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Starts inspection phase,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/start-service,staff_start_service,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Starts service work,staff/technician (assigned),TECHNICIAN_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/work-done,staff_work_done,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Marks work done,staff/technician (assigned),TECHNICIAN_EXECUTION_MUTATION
POST,/v1/provider/service-jobs/{job_id}/cancel,provider_cancel_job,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,ServiceJob,Whole-job cancellation (distinct from cancel-assignment),tenant_owner/staff (tenant-scoped),TENANT_OWNER_EXECUTION_MUTATION
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/approve,provider_approve_parts_request,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,PartsRequest (job_id-linked),Approves parts request,tenant_owner/provider,PROVIDER_PARTS_MUTATION
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/reject,provider_reject_parts_request,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,PartsRequest (job_id-linked),Rejects parts request,tenant_owner/provider,PROVIDER_PARTS_MUTATION
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/install,provider_install_parts_request,app.engines.execution.home_service_router,get_current_user,require_staff_or_above_mutation,YES,PartsRequest (job_id-linked),Marks parts installed (provider-only restriction preserved downstream),tenant_owner/provider,PROVIDER_PARTS_MUTATION
POST,/v1/staff/service-jobs/{job_id}/accept,accept_job,app.engines.home_service_assignment.staff_router,get_current_user,require_staff_or_above_mutation + tenant defense-in-depth,YES (canonical -- the only implementation registered at this path now),ServiceJob + ServiceJobAssignment,Technician accepts assigned job,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/staff/service-jobs/{job_id}/reject,reject_job,app.engines.home_service_assignment.staff_router,get_current_user,require_staff_or_above_mutation + tenant defense-in-depth,YES (canonical),ServiceJob + ServiceJobAssignment,Technician rejects assigned job,staff/technician (assigned),ASSIGNED_STAFF_EXECUTION_MUTATION
POST,/v1/provider/service-jobs/{job_id}/assign,assign_job,app.engines.home_service_assignment.provider_router,get_current_user,require_tenant_owner_mutation,YES,ServiceJob + ServiceJobAssignment,Assigns technician to job,tenant_owner,PROVIDER_ASSIGNMENT_MUTATION
POST,/v1/provider/service-jobs/{job_id}/cancel-assignment,cancel_assignment,app.engines.home_service_assignment.provider_router,get_current_user,require_tenant_owner_mutation,YES,ServiceJobAssignment,Cancels assignment (distinct from whole-job cancel),tenant_owner,PROVIDER_ASSIGNMENT_MUTATION
POST,/v1/provider/service-jobs/{job_id}/reassign,reassign_job,app.engines.home_service_assignment.provider_router,get_current_user,require_tenant_owner_mutation,YES,ServiceJob + ServiceJobAssignment,Reassigns to different technician,tenant_owner,PROVIDER_ASSIGNMENT_MUTATION
POST,/v1/provider/service-jobs/{job_id}/schedule,schedule_job,app.engines.home_service_assignment.provider_router,get_current_user,require_tenant_owner_mutation,YES,ServiceJob,Schedules job date/time,tenant_owner,PROVIDER_ASSIGNMENT_MUTATION
