method,path,endpoint,router,capability,persona,auth_dependency_after,review_id_source,tenant_source,actor_source,model,service_method,state_transition,protection_after,verification
POST,/v1/provider/reviews/{review_id}/reply,submit_reply,provider_router,PROVIDER_REPLY_CREATE,tenant_owner (+super_admin),require_tenant_owner_mutation,path param,JWT,JWT user_id,ReviewReply,submit_reply,none on review; reply pending|approved by policy,TENANT_MUTATION_ROLE_SCOPE_AWARE,VERIFIED
POST,/v1/provider/reviews/{review_id}/flag,flag_review,provider_router,PROVIDER_REVIEW_FLAG,tenant_owner (+super_admin),require_tenant_owner_mutation,path param,JWT,JWT user_id,ReviewFlag + CustomerReview.status,flag_review,* -> flagged,TENANT_MUTATION_ROLE_SCOPE_AWARE,VERIFIED
POST,/v1/customer/reviews/{review_id}/flag,flag_review,customer_router,CUSTOMER_REVIEW_FLAG,customer,require_customer,path param,derived from review (was CLIENT BODY),JWT user_id,ReviewFlag + CustomerReview.status,flag_review,* -> flagged,customer-scoped ownership (outside tenant X/Y),VERIFIED
GET,/v1/provider/reviews/{review_id},get_review,provider_router,FALSE_POSITIVE_NON_MUTATION,tenant_owner-side read,get_current_user,path param,JWT,n/a,CustomerReview,get_review(tenant_id=...),none,tenant-scoped read (was unscoped IDOR),VERIFIED
GET,/v1/customer/reviews/{review_id},get_my_review,customer_router,FALSE_POSITIVE_NON_MUTATION,customer read,get_current_user,path param,n/a,n/a,CustomerReview,get_review(customer_id=...),none,customer-scoped read (was unscoped IDOR),VERIFIED
GET,/v1/provider/reviews,list_my_reviews,provider_router,FALSE_POSITIVE_NON_MUTATION,tenant read,get_current_user,n/a,JWT,n/a,CustomerReview,list_reviews(tenant_id=),none,tenant-scoped (unchanged),VERIFIED
GET,/v1/provider/reviews/summary,get_tenant_rating_summary,provider_router,FALSE_POSITIVE_NON_MUTATION,tenant read,get_current_user,n/a,JWT,n/a,TenantRatingSummary,inline,none,tenant-scoped (unchanged),VERIFIED
GET,/v1/provider/reviews/staff-summary,get_staff_rating_summary,provider_router,FALSE_POSITIVE_NON_MUTATION,tenant read,get_current_user,n/a,JWT,n/a,StaffRatingSummary,inline,none,tenant-scoped (unchanged),VERIFIED
POST,/v1/customer/reviews,submit_review,customer_router,CUSTOMER_REVIEW_CREATE,customer,get_current_user,n/a,client body (eligibility-gated),JWT user_id,CustomerReview,submit_review,-> pending,pre-existing; eligibility service gates it,VERIFIED
PATCH,/v1/customer/reviews/{review_id},edit_review,customer_router,CUSTOMER_REVIEW_EDIT,customer,get_current_user,path param,n/a,JWT user_id,CustomerReview,edit_review,approved -> pending,customer-ownership checked (unchanged),VERIFIED
POST,/v1/admin/reviews/{review_id}/approve,approve_review,admin_router,REVIEW_PUBLISH,super_admin,require_super_admin,path param,n/a,JWT,CustomerReview,approve_review,pending -> approved,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/admin/reviews/{review_id}/reject,reject_review,admin_router,REVIEW_REJECT,super_admin,require_super_admin,path param,n/a,JWT,CustomerReview,reject_review,* -> rejected,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/admin/reviews/{review_id}/hide,hide_review,admin_router,REVIEW_UNPUBLISH,super_admin,require_super_admin,path param,n/a,JWT,CustomerReview,hide_review,* -> hidden,PLATFORM_ADMIN_ONLY,VERIFIED
DELETE,/v1/admin/reviews/{review_id},delete_review,admin_router,CUSTOMER_REVIEW_DELETE,super_admin,require_super_admin,path param,n/a,JWT,CustomerReview,delete_review,* -> deleted,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/admin/review-flags/{flag_id}/resolve,resolve_flag,admin_router,PLATFORM_FLAG_RESOLVE,super_admin,require_super_admin,flag id,n/a,JWT,ReviewFlag,resolve_flag,open -> resolved,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/admin/review-replies/{review_id}/approve,approve_reply,admin_router,PLATFORM_REVIEW_MODERATE,super_admin,require_super_admin,path param,n/a,JWT,ReviewReply,approve_reply,pending -> approved,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/admin/review-replies/{review_id}/reject,reject_reply,admin_router,PLATFORM_REVIEW_MODERATE,super_admin,require_super_admin,path param,n/a,JWT,ReviewReply,reject_reply,pending -> rejected,PLATFORM_ADMIN_ONLY,VERIFIED
POST,/v1/reviews,create_review,app.engines.review.router (LEGACY),DEPRECATED,n/a,get_current_user then 410,n/a,n/a,n/a,reviews (DISTINCT table),n/a,none,410 GONE -- preserved,VERIFIED
